西元年月,民國月份,列數,人次,0816列數,0816占比%
2024-01,113/01,72408,72408,41945,57.9
2024-02,113/02,62201,62201,34656,55.7
2024-03,113/03,77774,77774,46428,59.7
2024-04,113/04,71211,71211,42101,59.1
2024-05,113/05,74813,74813,44981,60.1
2024-06,113/06,70793,70793,38152,53.9
2024-07,113/07,62229,62229,30935,49.7
2024-08,113/08,73732,73732,33898,46
2024-09,113/09,87532,87532,48014,54.9
2024-10,113/10,78878,78878,44873,56.9
2024-11,113/11,92804,92804,53887,58.1
2024-12,113/12,94174,94174,54449,57.8
2025-01,114/01,72020,72020,39318,54.6
2025-02,114/02,68543,68543,39013,56.9
2025-03,114/03,86418,86418,50602,58.6
2025-04,114/04,83594,83594,47486,56.8
2025-05,114/05,82907,82907,47453,57.2
2025-06,114/06,77517,77517,42795,55.2
2025-07,114/07,61430,61430,30171,49.1
2025-08,114/08,63965,63965,30831,48.2
2025-09,114/09,78461,78461,45189,57.6
2025-10,114/10,87936,87936,50646,57.6
2025-11,114/11,35607,35607,0,0
2025-12,114/12,88727,88727,52425,59.1
2026-01,115/01,70523,70523,43805,62.1
2026-02,115/02,56672,56672,29910,52.8
2026-03,115/03,81699,81699,47954,58.7
2026-04,115/04,81709,82504,46627,57.1
2026-05,115/05,77631,77631,43654,56.2
2026-06,115/06,74525,74525,42387,56.9
