西元年月,民國月份,列數,人次,0412列數,0412占比%
2024-01,113/01,40652,40652,28004,68.9
2024-02,113/02,40740,40740,24154,59.3
2024-03,113/03,48101,48101,27741,57.7
2024-04,113/04,13912,13912,9332,67.1
2024-05,113/05,15185,15185,11110,73.2
2024-06,113/06,25137,25137,17370,69.1
2024-07,113/07,20798,20798,14228,68.4
2024-08,113/08,25760,25760,16470,63.9
2024-09,113/09,35987,35987,24825,69
2024-10,113/10,33193,33193,22859,68.9
2024-11,113/11,35521,35521,26412,74.4
2024-12,113/12,39379,39379,27885,70.8
2025-01,114/01,21619,21619,15750,72.9
2025-02,114/02,22094,22094,16192,73.3
2025-03,114/03,29233,29233,22243,76.1
2025-04,114/04,29369,29369,22115,75.3
2025-05,114/05,28146,28146,22170,78.8
2025-06,114/06,26383,26383,18832,71.4
2025-07,114/07,20568,20568,13857,67.4
2025-08,114/08,23101,23101,15990,69.2
2025-09,114/09,33958,33958,26015,76.6
2025-10,114/10,35107,35107,26913,76.7
2025-11,114/11,26905,26905,18260,67.9
2025-12,114/12,30074,30074,20088,66.8
2026-01,115/01,21935,21935,12998,59.3
2026-02,115/02,19357,19357,11372,58.7
2026-03,115/03,28837,28837,19628,68.1
2026-04,115/04,14146,20038,5009,35.4
2026-05,115/05,8380,8380,0,0
2026-06,115/06,6991,6991,0,0
