搭乘路線名稱,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
1123,2977,2582,3411,2244,2374,2499,2047,2204,2699,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,13385,12829,17265,7410,9351,10214,7048,7924,15359,14455,16640,17925,11609,11765,16276,15861,16228,13123,8321,9610,19798,21118,15927,17194,10534,9243,16920,4293,0,0
302,12649,9463,8449,621,74,55,80,168,239,241,278,285,203,181,288,325,263,276,346,391,437,295,362,389,468,535,613,225,0,0
303,968,1181,1030,440,677,6152,6032,7292,7720,6817,7732,8215,3135,3210,4197,4659,4238,4251,3987,4962,3881,3680,544,764,838,977,751,249,0,0
305,1002,681,997,861,1008,949,1068,1086,1507,1346,1762,1460,803,1036,1482,1270,1441,1182,1203,1027,1899,1820,1427,1741,1158,617,1344,242,0,0
307,11,25,111,65,83,61,0,0,64,114,117,151,46,47,149,160,174,134,0,0,78,0,0,0,0,0,0,0,0,0
308,723,630,890,540,534,646,626,698,757,788,767,692,606,563,558,625,755,814,679,656,668,914,2013,2633,2378,2426,2775,2756,3497,3037
309,472,514,454,138,334,2415,1466,3527,4649,3535,3272,4487,1393,1365,1366,1402,0,1629,1279,1498,1557,1467,633,453,255,148,136,100,192,104
310,8465,12835,15494,1593,750,2146,2431,2861,2993,3480,2386,2913,1535,1308,1260,1577,1471,1546,1427,1748,1654,1856,2487,3027,2881,3028,3290,3511,1740,1206
311,0,0,0,0,0,0,0,0,0,0,2567,3251,2289,2619,3657,3490,3576,3428,3326,3209,3986,3957,3512,3873,3423,2383,3008,2770,2951,2644
