西元年月,民國月份,總使用次數_列數,總使用次數_加總,使用人數,該月天數,平均每日_列數基準,平均每日_加總基準
2024-06,113/06,12309,12309,6509,30,0.063,0.063
2024-07,113/07,11518,23036,6452,31,0.058,0.115
2024-08,113/08,14745,14745,8347,31,0.057,0.057
2024-09,113/09,14433,14433,7053,30,0.068,0.068
2024-10,113/10,13452,13452,6570,31,0.066,0.066
2024-11,113/11,16157,16157,7598,30,0.071,0.071
2024-12,113/12,13757,13757,6019,31,0.074,0.074
2025-01,114/01,10936,10936,5295,31,0.067,0.067
2025-02,114/02,10139,20278,4819,28,0.075,0.15
2025-03,114/03,12206,12206,5633,31,0.07,0.07
2025-04,114/04,14381,14381,7040,30,0.068,0.068
2025-05,114/05,14840,14840,7427,31,0.064,0.064
2025-06,114/06,15133,15133,7551,30,0.067,0.067
2025-07,114/07,12897,12897,7134,31,0.058,0.058
2025-08,114/08,14386,14386,8083,31,0.057,0.057
2025-09,114/09,12926,12934,5875,30,0.073,0.073
2025-10,114/10,15782,15791,7003,31,0.073,0.073
2025-11,114/11,11433,11433,5591,30,0.068,0.068
2025-12,114/12,13272,13272,6487,31,0.066,0.066
2026-01,115/01,11423,11423,5548,31,0.066,0.066
2026-02,115/02,10483,10483,5888,28,0.064,0.064
2026-03,115/03,12073,12073,5880,31,0.066,0.066
2026-04,115/04,12648,12648,6882,30,0.061,0.061
2026-05,115/05,16134,16134,8299,31,0.063,0.063
2026-06,115/06,13533,13533,7011,30,0.064,0.064
