西元年月,民國月份,二至四次,五次以上,僅一次,使用人數,僅一次%,二至四次%,五次以上%
2024-06,113/06,2423,260,3826,6509,58.8,37.2,4
2024-07,113/07,2356,203,3893,6452,60.3,36.5,3.1
2024-08,113/08,3035,287,5025,8347,60.2,36.4,3.4
2024-09,113/09,2808,345,3900,7053,55.3,39.8,4.9
2024-10,113/10,2580,359,3631,6570,55.3,39.3,5.5
2024-11,113/11,3250,460,3888,7598,51.2,42.8,6.1
2024-12,113/12,2358,383,3278,6019,54.5,39.2,6.4
2025-01,114/01,1956,300,3039,5295,57.4,36.9,5.7
2025-02,114/02,1741,312,2766,4819,57.4,36.1,6.5
2025-03,114/03,2070,320,3243,5633,57.6,36.7,5.7
2025-04,114/04,2757,319,3964,7040,56.3,39.2,4.5
2025-05,114/05,2752,320,4355,7427,58.6,37.1,4.3
2025-06,114/06,2895,325,4331,7551,57.4,38.3,4.3
2025-07,114/07,2585,256,4293,7134,60.2,36.2,3.6
2025-08,114/08,3083,239,4761,8083,58.9,38.1,3
2025-09,114/09,2182,336,3357,5875,57.1,37.1,5.7
2025-10,114/10,2745,370,3888,7003,55.5,39.2,5.3
2025-11,114/11,2148,282,3161,5591,56.5,38.4,5
2025-12,114/12,2414,319,3754,6487,57.9,37.2,4.9
2026-01,115/01,2033,298,3217,5548,58,36.6,5.4
2026-02,115/02,2165,206,3517,5888,59.7,36.8,3.5
2026-03,115/03,2172,287,3421,5880,58.2,36.9,4.9
2026-04,115/04,2522,267,4093,6882,59.5,36.6,3.9
2026-05,115/05,3275,371,4653,8299,56.1,39.5,4.5
2026-06,115/06,2637,320,4054,7011,57.8,37.6,4.6
