西元年月,民國月份,列數,人次,最小值,中位數,平均權重,最大值,權重非1列數,虛增人次,權重非1占比%
2024-06,113/06,12309,12309,1,1,1,1,0,0,0
2024-07,113/07,11518,23036,2,2,2,2,11518,11518,100
2024-08,113/08,14745,14745,1,1,1,1,0,0,0
2024-09,113/09,14433,14433,1,1,1,1,0,0,0
2024-10,113/10,13452,13452,1,1,1,1,0,0,0
2024-11,113/11,16157,16157,1,1,1,1,0,0,0
2024-12,113/12,13757,13757,1,1,1,1,0,0,0
2025-01,114/01,10936,10936,1,1,1,1,0,0,0
2025-02,114/02,10139,20278,2,2,2,2,10139,10139,100
2025-03,114/03,12206,12206,1,1,1,1,0,0,0
2025-04,114/04,14381,14381,1,1,1,1,0,0,0
2025-05,114/05,14840,14840,1,1,1,1,0,0,0
2025-06,114/06,15133,15133,1,1,1,1,0,0,0
2025-07,114/07,12897,12897,1,1,1,1,0,0,0
2025-08,114/08,14386,14386,1,1,1,1,0,0,0
2025-09,114/09,12926,12934,1,1,1.001,2,8,8,0.1
2025-10,114/10,15782,15791,1,1,1.001,2,9,9,0.1
2025-11,114/11,11433,11433,1,1,1,1,0,0,0
2025-12,114/12,13272,13272,1,1,1,1,0,0,0
2026-01,115/01,11423,11423,1,1,1,1,0,0,0
2026-02,115/02,10483,10483,1,1,1,1,0,0,0
2026-03,115/03,12073,12073,1,1,1,1,0,0,0
2026-04,115/04,12648,12648,1,1,1,1,0,0,0
2026-05,115/05,16134,16134,1,1,1,1,0,0,0
2026-06,115/06,13533,13533,1,1,1,1,0,0,0
