資料集,業者編號,西元年月,民國月份,列數,值1,值2,值4,值8,值16,其他值,其他值清單,平均值,非1占比%,值2占比%,≥4占比%,型態
公路客運（全檔）,0805,2024-06,113/06,7214,7214,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0805,2024-07,113/07,6144,6144,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0805,2024-08,113/08,4994,4994,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0805,2024-09,113/09,2036,2036,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0805,2024-10,113/10,1483,1483,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0805,2024-11,113/11,1851,1851,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2024-06,113/06,38152,38152,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2024-07,113/07,30935,30935,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2024-08,113/08,33898,33898,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2024-09,113/09,48014,48014,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2024-10,113/10,44873,44873,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2024-11,113/11,53887,53887,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2024-12,113/12,54449,54449,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-01,114/01,39318,39318,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-02,114/02,39013,39013,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-03,114/03,50602,50602,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-04,114/04,47486,47486,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-05,114/05,47453,47453,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-06,114/06,42795,42795,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-07,114/07,30171,30171,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-08,114/08,30831,30831,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-09,114/09,45189,45189,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-10,114/10,50646,50646,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2025-12,114/12,52425,52425,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2026-01,115/01,43805,43805,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2026-02,115/02,29910,29910,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2026-03,115/03,47954,47954,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2026-04,115/04,46627,46627,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2026-05,115/05,43654,43654,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,0816,2026-06,115/06,42387,42387,0,0,0,0,0,"",1,0,0,0,全為1
公路客運（全檔）,1201,2024-06,113/06,16836,16813,23,0,0,0,0,"",1.001,0.1,0.1,0,零星2
公路客運（全檔）,1201,2024-07,113/07,16447,16437,10,0,0,0,0,"",1.001,0.1,0.1,0,零星2
公路客運（全檔）,1201,2024-08,113/08,18230,18219,11,0,0,0,0,"",1.001,0.1,0.1,0,零星2
公路客運（全檔）,1201,2024-09,113/09,24063,24051,12,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,1201,2024-10,113/10,23267,23252,15,0,0,0,0,"",1.001,0.1,0.1,0,零星2
公路客運（全檔）,1201,2024-11,113/11,28601,28569,32,0,0,0,0,"",1.001,0.1,0.1,0,零星2
