資料集,業者編號,西元年月,民國月份,列數,值1,值2,值4,值8,值16,其他值,其他值清單,平均值,非1占比%,值2占比%,≥4占比%,型態
公路客運（全檔）,1201,2026-03,115/03,27596,26665,810,121,0,0,0,"",1.043,3.4,2.9,0.4,含2的次方≥4
公路客運（全檔）,1201,2026-04,115/04,27441,20063,590,6528,236,24,0,"",1.808,26.9,2.2,24.7,含2的次方≥4
公路客運（全檔）,1201,2026-05,115/05,26735,25986,642,107,0,0,0,"",1.036,2.8,2.4,0.4,含2的次方≥4
公路客運（全檔）,1201,2026-06,115/06,22880,22787,0,93,0,0,0,"",1.012,0.4,0,0.4,含2的次方≥4
公路客運（全檔）,1308,2026-04,115/04,6017,4494,0,1523,0,0,0,"",1.759,25.3,0,25.3,含2的次方≥4
臺東公路,1201,2026-04,115/04,1339,1074,0,265,0,0,0,"",1.594,19.8,0,19.8,含2的次方≥4
花蓮公路,1201,2026-03,115/03,27596,26665,810,121,0,0,0,"",1.043,3.4,2.9,0.4,含2的次方≥4
花蓮公路,1201,2026-04,115/04,27441,20063,590,6528,236,24,0,"",1.808,26.9,2.2,24.7,含2的次方≥4
花蓮公路,1201,2026-05,115/05,26735,25986,642,107,0,0,0,"",1.036,2.8,2.4,0.4,含2的次方≥4
花蓮公路,1201,2026-06,115/06,22880,22787,0,93,0,0,0,"",1.012,0.4,0,0.4,含2的次方≥4
臺東市區,1202,2024-07,113/07,11518,0,11518,0,0,0,0,"",2,100,100,0,整月為2
臺東市區,1202,2025-02,114/02,10139,0,10139,0,0,0,0,"",2,100,100,0,整月為2
花蓮市區,1201,2026-04,115/04,9037,7073,0,1964,0,0,0,"",1.652,21.7,0,21.7,含2的次方≥4
