資料集,西元年月,民國月份,列數,值1,值2,值4,值8,值16,其他值,其他值清單,平均值,非1占比%,值2占比%,≥4占比%,型態
公路客運（全檔）,2024-06,113/06,91994,91971,23,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2024-07,113/07,81761,81751,10,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2024-08,113/08,93677,93666,11,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2024-09,113/09,110594,110582,12,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2024-10,113/10,100287,100272,15,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2024-11,113/11,119046,119014,32,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2024-12,113/12,117596,117571,25,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-01,114/01,90542,90519,23,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-02,114/02,87580,87560,20,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-03,114/03,110987,110975,12,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-04,114/04,108431,108368,63,0,0,0,0,"",1.001,0.1,0.1,0,零星2
公路客運（全檔）,2025-05,114/05,107556,107527,29,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-06,114/06,100205,100187,18,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-07,114/07,81975,81948,27,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-08,114/08,85053,85034,19,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-09,114/09,102390,102373,17,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-10,114/10,111985,111957,28,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-11,114/11,56563,56538,25,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2025-12,114/12,112727,112698,29,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2026-01,115/01,91692,91669,23,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2026-02,115/02,74112,74095,17,0,0,0,0,"",1,0,0,0,零星2
公路客運（全檔）,2026-03,115/03,108220,107289,810,121,0,0,0,"",1.011,0.9,0.7,0.1,含2的次方≥4
公路客運（全檔）,2026-04,115/04,113828,104927,590,8051,236,24,0,"",1.235,7.8,0.5,7.3,含2的次方≥4
公路客運（全檔）,2026-05,115/05,108556,107807,642,107,0,0,0,"",1.009,0.7,0.6,0.1,含2的次方≥4
公路客運（全檔）,2026-06,115/06,101959,101866,0,93,0,0,0,"",1.003,0.1,0,0.1,含2的次方≥4
臺東公路,2024-06,113/06,70793,70793,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2024-07,113/07,62229,62229,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2024-08,113/08,73732,73732,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2024-09,113/09,87532,87532,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2024-10,113/10,78878,78878,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2024-11,113/11,92804,92804,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2024-12,113/12,94174,94174,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-01,114/01,72020,72020,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-02,114/02,68543,68543,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-03,114/03,86418,86418,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-04,114/04,83594,83594,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-05,114/05,82907,82907,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-06,114/06,77517,77517,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-07,114/07,61430,61430,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-08,114/08,63965,63965,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-09,114/09,78461,78461,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-10,114/10,87936,87936,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-11,114/11,35607,35607,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2025-12,114/12,88727,88727,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2026-01,115/01,70523,70523,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2026-02,115/02,56672,56672,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2026-03,115/03,81699,81699,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2026-04,115/04,81709,81444,0,265,0,0,0,"",1.01,0.3,0,0.3,含2的次方≥4
臺東公路,2026-05,115/05,77631,77631,0,0,0,0,0,"",1,0,0,0,全為1
臺東公路,2026-06,115/06,74525,74525,0,0,0,0,0,"",1,0,0,0,全為1
花蓮公路,2024-06,113/06,28472,28449,23,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2024-07,113/07,26660,26650,10,0,0,0,0,"",1,0,0,0,零星2
花蓮公路,2024-08,113/08,27650,27639,11,0,0,0,0,"",1,0,0,0,零星2
花蓮公路,2024-09,113/09,30366,30354,12,0,0,0,0,"",1,0,0,0,零星2
花蓮公路,2024-10,113/10,28780,28765,15,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2024-11,113/11,34724,34692,32,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2024-12,113/12,31709,31684,25,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-01,114/01,26085,26062,23,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-02,114/02,25675,25655,20,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-03,114/03,32250,32238,12,0,0,0,0,"",1,0,0,0,零星2
花蓮公路,2025-04,114/04,32599,32536,63,0,0,0,0,"",1.002,0.2,0.2,0,零星2
花蓮公路,2025-05,114/05,32009,31980,29,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-06,114/06,30017,29999,18,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-07,114/07,28640,28613,27,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-08,114/08,29551,29532,19,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-09,114/09,31191,31174,17,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-10,114/10,32153,32125,28,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-11,114/11,26571,26546,25,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2025-12,114/12,31861,31832,29,0,0,0,0,"",1.001,0.1,0.1,0,零星2
花蓮公路,2026-01,115/01,27594,27571,23,0,0,0,0,"",1.001,0.1,0.1,0,零星2
