西元年月,民國月份,總使用次數_列數,總使用次數_加總,使用人數,該月天數,平均每日_列數基準,平均每日_加總基準
2024-06,113/06,28472,28495,8216,30,0.116,0.116
2024-07,113/07,26660,26670,8224,31,0.105,0.105
2024-08,113/08,27650,27661,9284,31,0.096,0.096
2024-09,113/09,30366,30378,8945,30,0.113,0.113
2024-10,113/10,28780,28795,9140,31,0.102,0.102
2024-11,113/11,34724,34756,11517,30,0.101,0.101
2024-12,113/12,31709,31734,10195,31,0.1,0.1
2025-01,114/01,26085,26108,9284,31,0.091,0.091
2025-02,114/02,25675,25695,8344,28,0.11,0.11
2025-03,114/03,32250,32262,9078,31,0.115,0.115
2025-04,114/04,32599,32662,9880,30,0.11,0.11
2025-05,114/05,32009,32038,9200,31,0.112,0.112
2025-06,114/06,30017,30035,8872,30,0.113,0.113
2025-07,114/07,28640,28667,9366,31,0.099,0.099
2025-08,114/08,29551,29570,10285,31,0.093,0.093
2025-09,114/09,31191,31208,8768,30,0.119,0.119
2025-10,114/10,32153,32181,9465,31,0.11,0.11
2025-11,114/11,26571,26596,7532,30,0.118,0.118
2025-12,114/12,31861,31890,8985,31,0.114,0.114
2026-01,115/01,27594,27617,8159,31,0.109,0.109
2026-02,115/02,24146,24163,9651,28,0.089,0.089
2026-03,115/03,34104,35277,9042,31,0.122,0.126
2026-04,115/04,34305,56491,10003,30,0.114,0.188
2026-05,115/05,33146,34109,9674,31,0.111,0.114
2026-06,115/06,29272,29551,8978,30,0.109,0.11
