西元年月,民國月份,二至四次,五次以上,僅一次,使用人數,僅一次%,二至四次%,五次以上%
2024-06,113/06,3056,1214,3946,8216,48,37.2,14.8
2024-07,113/07,3124,1159,3941,8224,47.9,38,14.1
2024-08,113/08,3379,1177,4728,9284,50.9,36.4,12.7
2024-09,113/09,3174,1296,4475,8945,50,35.5,14.5
2024-10,113/10,3611,1219,4310,9140,47.2,39.5,13.3
2024-11,113/11,4576,1348,5593,11517,48.6,39.7,11.7
2024-12,113/12,3632,1398,5165,10195,50.7,35.6,13.7
2025-01,114/01,3164,1134,4986,9284,53.7,34.1,12.2
2025-02,114/02,2727,1161,4456,8344,53.4,32.7,13.9
2025-03,114/03,3226,1385,4467,9078,49.2,35.5,15.3
2025-04,114/04,3575,1338,4967,9880,50.3,36.2,13.5
2025-05,114/05,3117,1325,4758,9200,51.7,33.9,14.4
2025-06,114/06,3166,1240,4466,8872,50.3,35.7,14
2025-07,114/07,3412,1149,4805,9366,51.3,36.4,12.3
2025-08,114/08,3944,1160,5181,10285,50.4,38.3,11.3
2025-09,114/09,3240,1335,4193,8768,47.8,37,15.2
2025-10,114/10,3302,1335,4828,9465,51,34.9,14.1
2025-11,114/11,2690,1163,3679,7532,48.8,35.7,15.4
2025-12,114/12,3229,1344,4412,8985,49.1,35.9,15
2026-01,115/01,2847,1217,4095,8159,50.2,34.9,14.9
2026-02,115/02,3473,917,5261,9651,54.5,36,9.5
2026-03,115/03,3150,1391,4501,9042,49.8,34.8,15.4
2026-04,115/04,3551,1352,5100,10003,51,35.5,13.5
2026-05,115/05,3366,1336,4972,9674,51.4,34.8,13.8
2026-06,115/06,3165,1249,4564,8978,50.8,35.3,13.9
