西元年月,民國月份,總使用次數_列數,總使用次數_加總,使用人數,該月天數,平均每日_列數基準,平均每日_加總基準
2024-06,113/06,25137,25137,12449,30,0.067,0.067
2024-07,113/07,20798,20798,10051,31,0.067,0.067
2024-08,113/08,25760,25760,11737,31,0.071,0.071
2024-09,113/09,35987,35987,17604,30,0.068,0.068
2024-10,113/10,33193,33193,16473,31,0.065,0.065
2024-11,113/11,35521,35521,18401,30,0.064,0.064
2024-12,113/12,39379,39379,20024,31,0.063,0.063
2025-01,114/01,21619,21619,12584,31,0.055,0.055
2025-02,114/02,22094,22094,12789,28,0.062,0.062
2025-03,114/03,29233,29233,16896,31,0.056,0.056
2025-04,114/04,29369,29369,17013,30,0.058,0.058
2025-05,114/05,28146,28146,17029,31,0.053,0.053
2025-06,114/06,26383,26383,15003,30,0.059,0.059
2025-07,114/07,20568,20568,11724,31,0.057,0.057
2025-08,114/08,23101,23101,11800,31,0.063,0.063
2025-09,114/09,33958,33958,17577,30,0.064,0.064
2025-10,114/10,35107,35107,18515,31,0.061,0.061
2025-11,114/11,26905,26905,17144,30,0.052,0.052
2025-12,114/12,30074,30074,19290,31,0.05,0.05
2026-01,115/01,21935,21935,14355,31,0.049,0.049
2026-02,115/02,19357,19357,12777,28,0.054,0.054
2026-03,115/03,28837,28837,18803,31,0.049,0.049
2026-04,115/04,14146,20038,10273,30,0.046,0.065
2026-05,115/05,8380,8380,6500,31,0.042,0.042
2026-06,115/06,6991,6991,5509,30,0.042,0.042
