日期,總列數,權重4以上,人次,虛增人次,權重4以上占比%
2026-04-01,1307,1,1352,45,0.1
2026-04-02,304,0,304,0,0
2026-04-03,1377,0,1413,36,0
2026-04-04,1183,0,1191,8,0
2026-04-05,1013,0,1037,24,0
2026-04-06,1113,0,1147,34,0
2026-04-07,1266,11,1325,59,0.9
2026-04-08,1250,2,1294,44,0.2
2026-04-09,1190,6,1238,48,0.5
2026-04-10,1116,12,1194,78,1.1
2026-04-11,1082,0,1104,22,0
2026-04-12,879,0,897,18,0
2026-04-13,1264,8,1320,56,0.6
2026-04-14,1094,9,1145,51,0.8
2026-04-15,1261,10,1311,50,0.8
2026-04-16,1194,3,1231,37,0.3
2026-04-17,1209,5,1242,33,0.4
2026-04-18,1053,0,1087,34,0
2026-04-19,868,5,899,31,0.6
2026-04-20,1230,3,1263,33,0.2
2026-04-21,1195,7,1246,51,0.6
2026-04-22,1201,960,4181,2980,79.9
2026-04-23,1197,973,4276,3079,81.3
2026-04-24,1342,1072,4718,3376,79.9
2026-04-25,956,788,3456,2500,82.4
2026-04-26,905,706,3199,2294,78
2026-04-27,1303,1071,4768,3465,82.2
2026-04-28,1345,1120,4953,3608,83.3
2026-04-29,1263,7,1306,43,0.6
2026-04-30,1345,9,1394,49,0.7
