西元年月,民國月份,列數,人次,最小值,中位數,平均權重,最大值,權重非1列數,虛增人次,權重非1占比%
2024-06,113/06,28472,28495,1,1,1.001,2,23,23,0.1
2024-07,113/07,26660,26670,1,1,1,2,10,10,0
2024-08,113/08,27650,27661,1,1,1,2,11,11,0
2024-09,113/09,30366,30378,1,1,1,2,12,12,0
2024-10,113/10,28780,28795,1,1,1.001,2,15,15,0.1
2024-11,113/11,34724,34756,1,1,1.001,2,32,32,0.1
2024-12,113/12,31709,31734,1,1,1.001,2,25,25,0.1
2025-01,114/01,26085,26108,1,1,1.001,2,23,23,0.1
2025-02,114/02,25675,25695,1,1,1.001,2,20,20,0.1
2025-03,114/03,32250,32262,1,1,1,2,12,12,0
2025-04,114/04,32599,32662,1,1,1.002,2,63,63,0.2
2025-05,114/05,32009,32038,1,1,1.001,2,29,29,0.1
2025-06,114/06,30017,30035,1,1,1.001,2,18,18,0.1
2025-07,114/07,28640,28667,1,1,1.001,2,27,27,0.1
2025-08,114/08,29551,29570,1,1,1.001,2,19,19,0.1
2025-09,114/09,31191,31208,1,1,1.001,2,17,17,0.1
2025-10,114/10,32153,32181,1,1,1.001,2,28,28,0.1
2025-11,114/11,26571,26596,1,1,1.001,2,25,25,0.1
2025-12,114/12,31861,31890,1,1,1.001,2,29,29,0.1
2026-01,115/01,27594,27617,1,1,1.001,2,23,23,0.1
2026-02,115/02,24146,24163,1,1,1.001,2,17,17,0.1
2026-03,115/03,34104,35277,1,1,1.034,4,931,1173,2.7
2026-04,115/04,34305,56491,1,1,1.647,16,7378,22186,21.5
2026-05,115/05,33146,34109,1,1,1.029,4,749,963,2.3
2026-06,115/06,29272,29551,1,1,1.01,4,93,279,0.3
