西元年月,民國月份,列數,人次,最小值,中位數,平均權重,最大值,權重非1列數,虛增人次,權重非1占比%
2024-06,113/06,25137,25137,1,1,1,1,0,0,0
2024-07,113/07,20798,20798,1,1,1,1,0,0,0
2024-08,113/08,25760,25760,1,1,1,1,0,0,0
2024-09,113/09,35987,35987,1,1,1,1,0,0,0
2024-10,113/10,33193,33193,1,1,1,1,0,0,0
2024-11,113/11,35521,35521,1,1,1,1,0,0,0
2024-12,113/12,39379,39379,1,1,1,1,0,0,0
2025-01,114/01,21619,21619,1,1,1,1,0,0,0
2025-02,114/02,22094,22094,1,1,1,1,0,0,0
2025-03,114/03,29233,29233,1,1,1,1,0,0,0
2025-04,114/04,29369,29369,1,1,1,1,0,0,0
2025-05,114/05,28146,28146,1,1,1,1,0,0,0
2025-06,114/06,26383,26383,1,1,1,1,0,0,0
2025-07,114/07,20568,20568,1,1,1,1,0,0,0
2025-08,114/08,23101,23101,1,1,1,1,0,0,0
2025-09,114/09,33958,33958,1,1,1,1,0,0,0
2025-10,114/10,35107,35107,1,1,1,1,0,0,0
2025-11,114/11,26905,26905,1,1,1,1,0,0,0
2025-12,114/12,30074,30074,1,1,1,1,0,0,0
2026-01,115/01,21935,21935,1,1,1,1,0,0,0
2026-02,115/02,19357,19357,1,1,1,1,0,0,0
2026-03,115/03,28837,28837,1,1,1,1,0,0,0
2026-04,115/04,14146,20038,1,1,1.417,4,1964,5892,13.9
2026-05,115/05,8380,8380,1,1,1,1,0,0,0
2026-06,115/06,6991,6991,1,1,1,1,0,0,0
