西元年月,民國月份,花蓮_使用人數,花蓮_5次以上%,臺東_使用人數,臺東_5次以上%
2024-06,113/06,12449,7.7,6509,4
2024-07,113/07,10051,9.5,6452,11.8
2024-08,113/08,11737,11.1,8347,3.4
2024-09,113/09,17604,8.7,7053,4.9
2024-10,113/10,16473,7.5,6570,5.5
2024-11,113/11,18401,6.4,7598,6.1
2024-12,113/12,20024,6.7,6019,6.4
2025-01,114/01,12584,4.3,5295,5.7
2025-02,114/02,12789,4.4,4819,16.7
2025-03,114/03,16896,4,5633,5.7
2025-04,114/04,17013,4.2,7040,4.5
2025-05,114/05,17029,3.1,7427,4.3
2025-06,114/06,15003,5,7551,4.3
2025-07,114/07,11724,5.4,7134,3.6
2025-08,114/08,11800,7.3,8083,3
2025-09,114/09,17577,5.2,5875,5.7
2025-10,114/10,18515,4.5,7003,5.3
2025-11,114/11,17144,0.7,5591,5
2025-12,114/12,19290,0.6,6487,4.9
2026-01,115/01,14355,0.6,5548,5.4
2026-02,115/02,12777,0.6,5888,3.5
2026-03,115/03,18803,0.3,5880,4.9
2026-04,115/04,10273,4.1,6882,3.9
2026-05,115/05,6500,0.5,8299,4.5
2026-06,115/06,5509,0.3,7011,4.6
