西元年月,民國月份,使用人數,平均搭乘次數,中位數,P95,P99,最大值,5次以上卡數,10次以上卡數,前月最大值,最大值變動
2024-06,113/06,12449,2.019,2,5,12,13,957,153,,
2024-07,113/07,10051,2.069,2,5,7,16,951,50,13,3
2024-08,113/08,11737,2.195,2,5,8,14,1302,77,16,-2
2024-09,113/09,17604,2.044,2,5,8,16,1527,18,14,2
2024-10,113/10,16473,2.015,2,5,8,12,1236,20,16,-4
2024-11,113/11,18401,1.93,2,5,8,14,1170,28,12,2
2024-12,113/12,20024,1.967,2,5,8,14,1351,167,14,0
2025-01,114/01,12584,1.718,1,4,8,10,543,2,14,-4
2025-02,114/02,12789,1.728,1,4,8,12,569,1,10,2
2025-03,114/03,16896,1.73,1,4,6,9,679,0,12,-3
2025-04,114/04,17013,1.726,1,4,6,12,722,4,9,3
2025-05,114/05,17029,1.653,1,4,5,8,536,0,12,-4
2025-06,114/06,15003,1.759,1,4,8,10,748,2,8,2
2025-07,114/07,11724,1.754,1,5,8,10,636,2,10,0
2025-08,114/08,11800,1.958,1,5,8,9,867,0,10,-1
2025-09,114/09,17577,1.932,2,5,8,12,915,4,9,3
2025-10,114/10,18515,1.896,1,4,7,10,837,2,12,-2
2025-11,114/11,17144,1.569,1,3,4,10,118,1,10,0
2025-12,114/12,19290,1.559,1,3,4,12,117,1,10,2
2026-01,115/01,14355,1.528,1,3,4,9,83,0,12,-3
2026-02,115/02,12777,1.515,1,3,4,9,74,0,9,0
2026-03,115/03,18803,1.534,1,3,4,7,56,0,9,-2
2026-04,115/04,10273,1.951,1,4,8,20,417,58,7,13
2026-05,115/05,6500,1.289,1,2,3,7,33,0,20,-13
2026-06,115/06,5509,1.269,1,2,3,7,16,0,7,0
