西元年月,民國月份,二至四次,五次以上,僅一次,使用人數,僅一次%,二至四次%,五次以上%
2024-06,113/06,5420,957,6072,12449,48.8,43.5,7.7
2024-07,113/07,4322,951,4778,10051,47.5,43,9.5
2024-08,113/08,4870,1302,5565,11737,47.4,41.5,11.1
2024-09,113/09,7532,1527,8545,17604,48.5,42.8,8.7
2024-10,113/10,7363,1236,7874,16473,47.8,44.7,7.5
2024-11,113/11,8042,1170,9189,18401,49.9,43.7,6.4
2024-12,113/12,8688,1351,9985,20024,49.9,43.4,6.7
2025-01,114/01,4863,543,7178,12584,57,38.6,4.3
2025-02,114/02,5136,569,7084,12789,55.4,40.2,4.4
2025-03,114/03,7361,679,8856,16896,52.4,43.6,4
2025-04,114/04,7001,722,9290,17013,54.6,41.2,4.2
2025-05,114/05,7157,536,9336,17029,54.8,42,3.1
2025-06,114/06,6122,748,8133,15003,54.2,40.8,5
2025-07,114/07,4439,636,6649,11724,56.7,37.9,5.4
2025-08,114/08,4653,867,6280,11800,53.2,39.4,7.3
2025-09,114/09,8039,915,8623,17577,49.1,45.7,5.2
2025-10,114/10,8280,837,9398,18515,50.8,44.7,4.5
2025-11,114/11,7652,118,9374,17144,54.7,44.6,0.7
2025-12,114/12,8636,117,10537,19290,54.6,44.8,0.6
2026-01,115/01,5978,83,8294,14355,57.8,41.6,0.6
2026-02,115/02,5096,74,7607,12777,59.5,39.9,0.6
2026-03,115/03,8293,56,10454,18803,55.6,44.1,0.3
2026-04,115/04,3926,417,5930,10273,57.7,38.2,4.1
2026-05,115/05,1536,33,4931,6500,75.9,23.6,0.5
2026-06,115/06,1239,16,4254,5509,77.2,22.5,0.3
