西元年月,卡數,僅出現1天卡數,僅出現1天占比%,最多出現天數
2024-06,12449,12449,100,1
2024-07,10051,10051,100,1
2024-08,11737,11737,100,1
2024-09,17604,17604,100,1
2024-10,16473,16473,100,1
2024-11,18401,18401,100,1
2024-12,20024,20024,100,1
2025-01,12584,12584,100,1
2025-02,12789,12789,100,1
2025-03,16896,16896,100,1
2025-04,17013,17013,100,1
2025-05,17029,17029,100,1
2025-06,15003,15003,100,1
2025-07,11724,11724,100,1
2025-08,11800,11800,100,1
2025-09,17577,17577,100,1
2025-10,18515,18515,100,1
2025-11,17144,17144,100,1
2025-12,19290,19290,100,1
2026-01,14355,14355,100,1
2026-02,12777,12777,100,1
2026-03,18803,18803,100,1
2026-04,10273,10273,100,1
2026-05,6500,6500,100,1
2026-06,5509,5509,100,1
