西元年月,1,2,3,4,5,6,7,8,9,10
2024-06,6072,3975,712,733,653,105,34,8,4,10
2024-07,4778,3003,662,657,701,124,60,15,1,2
2024-08,5565,3382,624,864,763,151,50,253,8,1
2024-09,8545,5700,874,958,794,138,64,497,16,1
2024-10,7874,5419,975,969,662,134,46,354,20,4
2024-11,9189,6098,876,1068,654,115,41,310,22,12
2024-12,9985,6611,992,1085,699,163,53,259,10,10
2025-01,7178,3856,539,468,305,87,23,122,4,2
2025-02,7084,4185,512,439,359,58,23,120,8,0
2025-03,8856,6147,693,521,465,51,20,138,5,0
2025-04,9290,5674,747,580,477,86,17,134,4,3
2025-05,9336,5965,697,495,439,66,30,1,0,0
2025-06,8133,5005,603,514,463,103,23,152,5,2
2025-07,6649,3520,441,478,438,59,19,115,3,2
2025-08,6280,2698,1348,607,569,124,30,142,2,0
2025-09,8623,4787,2625,627,558,124,38,183,8,3
2025-10,9398,4635,3011,634,511,135,30,156,3,2
2025-11,9374,6496,841,315,51,19,1,44,2,1
2025-12,10537,7362,976,298,64,22,11,19,0,0
2026-01,8294,5025,692,261,42,34,2,2,3,0
2026-02,7607,4185,672,239,47,21,2,3,1,0
2026-03,10454,7092,903,298,41,12,3,0,0,0
2026-04,5930,2416,323,1187,25,9,0,325,0,0
2026-05,4931,1365,155,16,9,23,1,0,0,0
2026-06,4254,1094,122,23,6,9,1,0,0,0
