西元年月,民國月份,全體卡數,全體五次以上,1123,301,302,302A,303,303B,303C,303D,305,305A,307,308,309,310,311,311A,全體5+率%
2024-06,113/06,12353,941,6,27,0,0,0,534,98,89,3,0,0,0,164,20,0,0,7.62
2024-07,113/07,9883,919,4,13,0,0,0,567,81,91,5,0,0,2,130,26,0,0,9.3
2024-08,113/08,11686,1277,11,29,0,4,4,583,86,166,2,0,0,1,358,33,0,0,10.93
2024-09,113/09,17504,1504,6,60,0,8,2,659,91,78,3,2,0,4,557,34,0,0,8.59
2024-10,113/10,16386,1221,8,37,2,1,0,526,89,86,5,0,5,2,419,41,0,0,7.45
2024-11,113/11,18295,1146,0,29,0,1,1,510,94,96,9,0,0,0,372,28,5,1,6.26
2024-12,113/12,19923,1339,0,39,0,0,6,556,88,119,4,1,0,1,465,49,9,2,6.72
2025-01,114/01,12515,534,0,28,0,0,0,259,39,54,0,1,0,1,141,8,3,0,4.27
2025-02,114/02,12729,560,0,23,0,0,0,304,35,47,0,0,0,0,136,7,4,4,4.4
2025-03,114/03,16825,668,0,34,0,0,0,377,51,35,8,1,0,0,147,12,2,1,3.97
2025-04,114/04,16945,714,0,34,0,0,0,398,48,61,5,0,0,0,150,9,6,3,4.21
2025-05,114/05,16952,535,0,42,0,0,0,387,48,27,11,1,1,0,0,8,10,0,3.16
2025-06,114/06,14936,745,0,35,0,0,0,379,59,68,10,0,0,0,178,7,9,0,4.99
2025-07,114/07,11675,629,0,24,0,0,1,354,61,28,5,1,0,0,136,9,9,1,5.39
2025-08,114/08,11708,782,0,17,0,0,1,438,59,72,1,0,0,1,168,6,19,0,6.68
2025-09,114/09,17456,720,0,62,0,0,0,318,83,37,7,0,0,0,179,13,19,2,4.12
2025-10,114/10,18412,641,0,31,0,0,1,341,33,47,5,0,0,2,163,9,9,0,3.48
2025-11,114/11,17104,114,0,25,0,0,1,8,0,0,8,3,0,4,50,6,7,2,0.67
2025-12,114/12,19234,111,0,23,0,1,3,3,3,5,16,0,0,7,30,6,13,1,0.58
2026-01,115/01,14355,83,0,24,0,1,0,7,0,4,2,1,0,7,25,6,6,0,0.58
2026-02,115/02,12777,74,0,14,0,0,1,14,2,7,0,0,0,3,10,11,8,4,0.58
2026-03,115/03,18803,56,0,18,0,0,0,10,0,2,0,0,0,5,7,10,4,0,0.3
2026-04,115/04,10273,36,0,6,0,0,0,4,0,0,0,0,0,0,7,17,2,0,0.35
2026-05,115/05,6500,33,0,0,0,0,0,0,0,0,0,0,0,4,24,0,5,0,0.51
2026-06,115/06,5509,16,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,0,0.29
