西元年月,民國月份,全部_人次,全部_里程,排除311_里程,311_人次,311_里程,311占比%,稀釋效果_公里
2024-06,113/06,22197,17.63,17.63,,,,0
2024-07,113/07,18079,16.73,16.73,,,,0
2024-08,113/08,23016,18,18,,,,0
2024-09,113/09,32143,17.53,17.53,,,,0
2024-10,113/10,29931,17.5,17.5,,,,0
2024-11,113/11,34939,15.19,16.01,2534,4.71,7.3,-0.82
2024-12,113/12,38965,16.15,17.18,3220,4.65,8.3,-1.03
2025-01,114/01,21296,13.26,14.3,2257,4.51,10.6,-1.04
2025-02,114/02,21811,13.52,14.72,2588,4.62,11.9,-1.2
2025-03,114/03,28899,13.22,14.43,3615,4.72,12.5,-1.21
2025-04,114/04,28999,13.22,14.37,3444,4.65,11.9,-1.15
2025-05,114/05,27762,11.97,13.03,3537,4.72,12.7,-1.06
2025-06,114/06,26039,13.37,14.67,3407,4.73,13.1,-1.3
2025-07,114/07,20312,12.6,14.11,3285,4.77,16.2,-1.51
2025-08,114/08,21256,13.2,14.68,3163,4.76,14.9,-1.48
2025-09,114/09,30293,13.3,14.57,3945,4.84,13,-1.27
2025-10,114/10,30787,13.1,14.3,3927,4.85,12.8,-1.2
2025-11,114/11,26222,11.72,12.8,3486,4.67,13.3,-1.08
2025-12,114/12,29145,11.73,12.8,3833,4.64,13.2,-1.07
2026-01,115/01,21223,11,12.22,3423,4.69,16.1,-1.22
2026-02,115/02,18645,11.2,12.17,2383,4.57,12.8,-0.97
2026-03,115/03,28760,11.64,12.51,3008,4.15,10.5,-0.87
2026-04,115/04,19989,11,13.21,4795,4,24,-2.21
2026-05,115/05,8336,9.47,12.47,2951,4,35.4,-3
2026-06,115/06,6904,8.4,11.1,2644,4.06,38.3,-2.7
