民國月份,本腳本里程,已交付里程,差異
113/06,17.63,17.63,0
113/07,16.73,16.73,0
113/08,18,18,0
113/09,17.53,17.53,0
113/10,17.5,17.5,0
113/11,15.19,15.19,0
113/12,16.15,16.15,0
114/01,13.26,13.26,0
114/02,13.52,13.52,0
114/03,13.22,13.22,0
114/04,13.22,13.22,0
114/05,11.97,11.97,0
114/06,13.37,13.37,0
114/07,12.6,12.6,0
114/08,13.2,13.2,0
114/09,13.3,13.3,0
114/10,13.1,13.1,0
114/11,11.72,11.72,0
114/12,11.73,11.73,0
115/01,11,11,0
115/02,11.2,11.2,0
115/03,11.64,11.64,0
115/04,11,11,0
115/05,9.47,9.47,0
115/06,8.4,8.4,0
