站序,代碼,站名,區塊,區塊內站數,區塊可用
1,307560,花蓮轉運站,1,6,TRUE
2,286979,市立圖書館,1,6,TRUE
3,182874,花蓮商校,1,6,TRUE
4,241908,郵政總局,1,6,TRUE
5,182876,大同市場,1,6,TRUE
6,237391,臺灣企銀,1,6,TRUE
7,286983,花蓮旅行社,2,1,FALSE
8,222369,東大門夜市,3,1,FALSE
9,182389,花蓮醫院(將軍府),4,1,FALSE
10,306026,民權 一街,5,1,FALSE
11,208807,亞士都飯店,6,1,FALSE
12,237394,門諾醫院,7,1,FALSE
13,247673,石雕博物館,8,1,FALSE
14,208808,翰品酒店,9,1,FALSE
15,247674,中興中美路口,10,1,FALSE
16,247312,美崙飯店,11,1,FALSE
17,237397,榮民之家,12,3,TRUE
18,247675,大陳一村,12,3,TRUE
19,182444,海星中學,12,3,TRUE
20,286977,家樂福,13,5,TRUE
21,286978,嘉里村,13,5,TRUE
22,247311,花蓮機場,13,5,TRUE
23,286982,嘉里村,13,5,TRUE
24,286981,家樂福,13,5,TRUE
25,247310,慈濟醫院,14,4,TRUE
26,307470,明廉國小,14,4,TRUE
27,286975,市立圖書館,14,4,TRUE
28,307559,花蓮轉運站,14,4,TRUE
