方向,站序,代碼,站名,刷卡次數
0,1,307560,花蓮轉運站,11323
0,2,286979,市立圖書館,936
0,3,182874,花蓮商校,1751
0,4,241908,郵政總局,593
0,5,182876,大同市場,1332
0,6,237391,臺灣企銀,2258
0,7,286983,花蓮旅行社,1184
0,8,222369,東大門夜市,2339
0,9,182389,花蓮醫院(將軍府),1137
0,10,306026,民權 一街,953
0,11,208807,亞士都飯店,1248
0,12,237394,門諾醫院,5360
0,13,247673,石雕博物館,1077
0,14,208808,翰品酒店,1769
0,15,247674,中興中美路口,2279
0,16,247312,美崙飯店,1449
0,17,237397,榮民之家,1349
0,18,247675,大陳一村,516
0,19,182444,海星中學,390
0,20,286977,家樂福,655
0,21,286978,嘉里村,570
0,22,247311,花蓮機場,378
0,23,286982,嘉里村,589
0,24,286981,家樂福,964
0,25,247310,慈濟醫院,1711
0,26,307470,明廉國小,552
0,27,286975,市立圖書館,891
0,28,307559,花蓮轉運站,4369
