起站序,起,起站名,迄站序,迄,迄站名,距離_公尺,來源,跨站數,可套用,類型
1,307560,花蓮轉運站,2,286979,市立圖書館,462.5,311 方向0,1,TRUE,直接對應
2,286979,市立圖書館,3,182874,花蓮商校,490.08,311 方向0,1,TRUE,直接對應
3,182874,花蓮商校,4,241908,郵政總局,360.11,311 方向0,1,TRUE,直接對應
4,241908,郵政總局,5,182876,大同市場,397.52,311 方向0,1,TRUE,直接對應
5,182876,大同市場,6,237391,臺灣企銀,340.66,311 方向0,1,TRUE,直接對應
6,237391,臺灣企銀,7,286983,花蓮旅行社,,,,FALSE,無法提供
7,286983,花蓮旅行社,8,222369,東大門夜市,,,,FALSE,無法提供
8,222369,東大門夜市,9,182389,花蓮醫院(將軍府),,,,FALSE,無法提供
9,182389,花蓮醫院(將軍府),10,306026,民權 一街,,,,FALSE,無法提供
10,306026,民權 一街,11,208807,亞士都飯店,,,,FALSE,無法提供
11,208807,亞士都飯店,12,237394,門諾醫院,,,,FALSE,無法提供
12,237394,門諾醫院,13,247673,石雕博物館,,,,FALSE,無法提供
13,247673,石雕博物館,14,208808,翰品酒店,,,,FALSE,無法提供
14,208808,翰品酒店,15,247674,中興中美路口,,,,FALSE,無法提供
15,247674,中興中美路口,16,247312,美崙飯店,,,,FALSE,無法提供
16,247312,美崙飯店,17,237397,榮民之家,,,,FALSE,無法提供
17,237397,榮民之家,18,247675,大陳一村,287.849999999999,311 方向0,1,TRUE,直接對應
18,247675,大陳一村,19,182444,海星中學,577.230000000001,311 方向0,1,TRUE,直接對應
19,182444,海星中學,20,286977,家樂福,,,,FALSE,無法提供
20,286977,家樂福,21,286978,嘉里村,354.09,311A 方向0,1,TRUE,直接對應
21,286978,嘉里村,22,247311,花蓮機場,1114.72,311A 方向0,1,TRUE,直接對應
22,247311,花蓮機場,23,286982,嘉里村,1401.1,311A 方向1,2,TRUE,跨站加總
23,286982,嘉里村,24,286981,家樂福,340.16,311A 方向1,1,TRUE,直接對應
24,286981,家樂福,25,247310,慈濟醫院,,,,FALSE,無法提供
25,247310,慈濟醫院,26,307470,明廉國小,391.550000000001,311 方向0,1,TRUE,直接對應
26,307470,明廉國小,27,286975,市立圖書館,1062.9,311 方向0,1,TRUE,直接對應
27,286975,市立圖書館,28,307559,花蓮轉運站,370.83,311 方向0,1,TRUE,直接對應
