附屬,方向,站序,代碼,站名,站間距離,累積
311,0,1,307560,花蓮轉運站,0,0
311,0,2,286979,市立圖書館,462.5,462.5
311,0,3,182874,花蓮商校,490.08,952.58
311,0,4,241908,郵政總局,360.11,1312.69
311,0,5,182876,大同市場,397.52,1710.21
311,0,6,237391,臺灣企銀,340.66,2050.87
311,0,7,182389,花蓮醫院(將軍府),426.33,2477.2
311,0,8,310127,松園別館,877.78,3354.98
311,0,9,310128,上美崙,327.18,3682.16
311,0,10,304778,煙波大飯店,278.17,3960.33
311,0,11,304780,中美路民權八街口,247.95,4208.28
311,0,12,237394,門諾醫院,338.2,4546.48
311,0,13,304781,麗軒國際飯店,428.18,4974.66
311,0,14,310129,鑄強國小,244.13,5218.79
311,0,15,310130,民政社區花園,356.53,5575.32
311,0,16,310131,國立花蓮高工,454.63,6029.95
311,0,17,237397,榮民之家,543.64,6573.59
311,0,18,247675,大陳一村,287.85,6861.44
311,0,19,182444,海星中學,577.23,7438.67
311,0,20,247310,慈濟醫院,3176.07,10614.74
311,0,21,307470,明廉國小,391.55,11006.29
311,0,22,286975,市立圖書館,1062.9,12069.19
311,0,23,307559,花蓮轉運站,370.83,12440.02
311A,0,1,307560,花蓮轉運站,0,0
311A,0,2,286977,家樂福,3486.2,3486.2
311A,0,3,286978,嘉里村,354.09,3840.29
311A,0,4,247311,花蓮機場,1114.72,4955.01
311A,1,1,247311,花蓮機場,0,0
311A,1,2,310126,國軍總醫院,899.05,899.05
311A,1,3,286982,嘉里村,502.05,1401.1
311A,1,4,286981,家樂福,340.16,1741.26
311A,1,5,307559,花蓮轉運站,3490.39,5231.65
