代碼,類別,站名,1123站序
286983,1123 獨有,花蓮旅行社,7
222369,1123 獨有,東大門夜市,8
306026,1123 獨有,民權 一街,10
208807,1123 獨有,亞士都飯店,11
247673,1123 獨有,石雕博物館,13
208808,1123 獨有,翰品酒店,14
247674,1123 獨有,中興中美路口,15
247312,1123 獨有,美崙飯店,16
310127,311/311A 獨有,松園別館,
310128,311/311A 獨有,上美崙,
304778,311/311A 獨有,煙波大飯店,
304780,311/311A 獨有,中美路民權八街口,
304781,311/311A 獨有,麗軒國際飯店,
310129,311/311A 獨有,鑄強國小,
310130,311/311A 獨有,民政社區花園,
310131,311/311A 獨有,國立花蓮高工,
310126,311/311A 獨有,國軍總醫院,
307560,共用,花蓮轉運站,1
286979,共用,市立圖書館,2
182874,共用,花蓮商校,3
241908,共用,郵政總局,4
182876,共用,大同市場,5
237391,共用,臺灣企銀,6
182389,共用,花蓮醫院(將軍府),9
237394,共用,門諾醫院,12
237397,共用,榮民之家,17
247675,共用,大陳一村,18
182444,共用,海星中學,19
286977,共用,家樂福,20
286978,共用,嘉里村,21
247311,共用,花蓮機場,22
286982,共用,嘉里村,23
286981,共用,家樂福,24
247310,共用,慈濟醫院,25
307470,共用,明廉國小,26
286975,共用,市立圖書館,27
307559,共用,花蓮轉運站,28
