資料,月,版本,TPASS人次,TPASS使用比例%,總使用次數,使用人數,使用人合計日數,天數,平均每日使用次數,單日平均使用次數,全部_僅一次,全部_二至四次,全部_五次以上,全部_僅一次%,全部_五次以上%,TPASS_僅一次,TPASS_二至四次,TPASS_五次以上,TPASS_僅一次%,TPASS_五次以上%
花蓮市區,113/06,去重,3430,13.65,25137,12449,12449,30,0.067,2.02,6072,5420,957,48.8,7.7,969,1138,6,45.9,0.3
花蓮市區,113/06,原,3430,13.65,25137,12449,12449,30,0.067,2.02,6072,5420,957,48.8,7.7,969,1138,6,45.9,0.3
花蓮市區,113/07,去重,2778,13.36,20797,10051,10051,31,0.067,2.07,4778,4322,951,47.5,9.5,605,1023,3,37.1,0.2
花蓮市區,113/07,原,2778,13.36,20798,10051,10051,31,0.067,2.07,4778,4322,951,47.5,9.5,605,1023,3,37.1,0.2
花蓮市區,113/08,去重,2889,11.22,25760,11737,11737,31,0.071,2.19,5565,4870,1302,47.4,11.1,725,993,6,42.1,0.3
花蓮市區,113/08,原,2889,11.22,25760,11737,11737,31,0.071,2.19,5565,4870,1302,47.4,11.1,725,993,6,42.1,0.3
花蓮市區,113/09,去重,5497,15.28,35986,17604,17604,30,0.068,2.04,8545,7532,1527,48.5,8.7,1536,1846,8,45.3,0.2
花蓮市區,113/09,原,5498,15.28,35987,17604,17604,30,0.068,2.04,8545,7532,1527,48.5,8.7,1536,1846,8,45.3,0.2
花蓮市區,113/10,去重,6122,18.44,33192,16473,16473,31,0.065,2.01,7875,7362,1236,47.8,7.5,1545,2105,11,42.2,0.3
花蓮市區,113/10,原,6123,18.45,33193,16473,16473,31,0.065,2.01,7874,7363,1236,47.8,7.5,1544,2106,11,42.2,0.3
花蓮市區,113/11,去重,6871,19.35,35517,18401,18401,30,0.064,1.93,9190,8041,1170,49.9,6.4,1762,2381,12,42.4,0.3
花蓮市區,113/11,原,6875,19.35,35521,18401,18401,30,0.064,1.93,9189,8042,1170,49.9,6.4,1761,2382,12,42.4,0.3
花蓮市區,113/12,去重,7842,19.91,39378,20024,20024,31,0.063,1.97,9985,8688,1351,49.9,6.7,2039,2689,17,43,0.4
花蓮市區,113/12,原,7842,19.91,39379,20024,20024,31,0.063,1.97,9985,8688,1351,49.9,6.7,2039,2689,17,43,0.4
花蓮市區,114/01,去重,4258,19.7,21618,12584,12584,31,0.055,1.72,7178,4863,543,57,4.3,1064,1480,6,41.7,0.2
花蓮市區,114/01,原,4258,19.7,21619,12584,12584,31,0.055,1.72,7178,4863,543,57,4.3,1064,1480,6,41.7,0.2
花蓮市區,114/02,去重,5693,25.77,22092,12789,12789,28,0.062,1.73,7085,5135,569,55.4,4.4,1352,2011,10,40.1,0.3
花蓮市區,114/02,原,5695,25.78,22094,12789,12789,28,0.062,1.73,7084,5136,569,55.4,4.4,1351,2012,10,40.1,0.3
花蓮市區,114/03,去重,8879,30.38,29231,16896,16896,31,0.056,1.73,8857,7360,679,52.4,4,1993,3196,16,38.3,0.3
花蓮市區,114/03,原,8880,30.38,29233,16896,16896,31,0.056,1.73,8856,7361,679,52.4,4,1992,3197,16,38.3,0.3
花蓮市區,114/04,去重,7870,26.8,29366,17013,17013,30,0.058,1.73,9291,7000,722,54.6,4.2,1977,2764,12,41.6,0.3
花蓮市區,114/04,原,7872,26.8,29369,17013,17013,30,0.058,1.73,9290,7001,722,54.6,4.2,1976,2765,12,41.6,0.3
花蓮市區,114/05,去重,8375,29.76,28144,17029,17029,31,0.053,1.65,9336,7157,536,54.8,3.1,1987,2993,16,39.8,0.3
花蓮市區,114/05,原,8375,29.76,28146,17029,17029,31,0.053,1.65,9336,7157,536,54.8,3.1,1987,2993,16,39.8,0.3
花蓮市區,114/06,去重,6825,25.87,26380,15003,15003,30,0.059,1.76,8135,6121,747,54.2,5,1681,2396,13,41.1,0.3
花蓮市區,114/06,原,6828,25.88,26383,15003,15003,30,0.059,1.76,8133,6122,748,54.2,5,1679,2397,14,41.1,0.3
花蓮市區,114/07,去重,4538,22.06,20568,11724,11724,31,0.057,1.75,6649,4439,636,56.7,5.4,1063,1597,12,39.8,0.4
花蓮市區,114/07,原,4538,22.06,20568,11724,11724,31,0.057,1.75,6649,4439,636,56.7,5.4,1063,1597,12,39.8,0.4
