地區,月,版本,總搭乘紀錄數,總轉乘次數,平均轉乘次數,TPASS搭乘紀錄數,TPASS轉乘次數,TPASS平均轉乘次數
花蓮地區,113/06,去重,53606,2634,0.049,8173,267,0.033
花蓮地區,113/06,原,53609,2634,0.049,8175,267,0.033
花蓮地區,113/07,去重,47454,2327,0.049,6352,195,0.031
花蓮地區,113/07,原,47458,2327,0.049,6355,195,0.031
花蓮地區,113/08,去重,53407,2699,0.051,6420,248,0.039
花蓮地區,113/08,原,53410,2699,0.051,6423,248,0.039
花蓮地區,113/09,去重,66352,2745,0.041,11430,361,0.032
花蓮地區,113/09,原,66353,2745,0.041,11431,361,0.032
花蓮地區,113/10,去重,61972,2595,0.042,11504,376,0.033
花蓮地區,113/10,原,61973,2595,0.042,11505,376,0.033
花蓮地區,113/11,去重,70238,2701,0.038,12943,377,0.029
花蓮地區,113/11,原,70245,2701,0.038,12949,377,0.029
花蓮地區,113/12,去重,71087,2854,0.04,13574,401,0.03
花蓮地區,113/12,原,71088,2854,0.04,13574,401,0.03
花蓮地區,114/01,去重,47702,1843,0.039,8382,179,0.021
花蓮地區,114/01,原,47704,1843,0.039,8382,179,0.021
花蓮地區,114/02,去重,47767,1907,0.04,10284,267,0.026
花蓮地區,114/02,原,47769,1907,0.04,10286,267,0.026
花蓮地區,114/03,去重,61481,2379,0.039,15549,381,0.025
花蓮地區,114/03,原,61483,2379,0.039,15550,381,0.025
花蓮地區,114/04,去重,61964,2521,0.041,14179,325,0.023
花蓮地區,114/04,原,61968,2521,0.041,14181,325,0.023
花蓮地區,114/05,去重,60153,2623,0.044,14971,441,0.029
花蓮地區,114/05,原,60155,2623,0.044,14971,441,0.029
花蓮地區,114/06,去重,56396,2567,0.046,12632,332,0.026
花蓮地區,114/06,原,56400,2567,0.046,12635,332,0.026
花蓮地區,114/07,去重,49207,2302,0.047,9084,334,0.037
花蓮地區,114/07,原,49208,2302,0.047,9084,334,0.037
花蓮地區,114/08,去重,51133,2496,0.049,7684,287,0.037
花蓮地區,114/08,原,52652,2496,0.047,9202,287,0.031
花蓮地區,114/09,去重,61874,2657,0.043,15414,445,0.029
花蓮地區,114/09,原,65149,2660,0.041,18686,448,0.024
花蓮地區,114/10,去重,63423,2513,0.04,16721,435,0.026
花蓮地區,114/10,原,67260,2514,0.037,20556,436,0.021
花蓮地區,114/11,去重,53475,2395,0.045,15752,440,0.028
花蓮地區,114/11,原,53476,2395,0.045,15752,440,0.028
花蓮地區,114/12,去重,61934,2754,0.044,18002,434,0.024
花蓮地區,114/12,原,61935,2754,0.044,18002,434,0.024
花蓮地區,115/01,去重,49529,2665,0.054,12577,438,0.035
花蓮地區,115/01,原,49529,2665,0.054,12577,438,0.035
花蓮地區,115/02,去重,43503,2119,0.049,7867,258,0.033
花蓮地區,115/02,原,43503,2119,0.049,7867,258,0.033
花蓮地區,115/03,去重,62941,2653,0.042,18292,428,0.023
花蓮地區,115/03,原,62941,2653,0.042,18292,428,0.023
花蓮地區,115/04,去重,48451,2155,0.044,10296,242,0.024
花蓮地區,115/04,原,48451,2155,0.044,10296,242,0.024
花蓮地區,115/05,去重,41526,2131,0.051,8348,252,0.03
花蓮地區,115/05,原,41526,2131,0.051,8348,252,0.03
花蓮地區,115/06,去重,36263,2054,0.057,7154,266,0.037
花蓮地區,115/06,原,36263,2054,0.057,7154,266,0.037
臺東地區,113/06,去重,83100,9176,0.11,20787,1952,0.094
臺東地區,113/06,原,83102,9176,0.11,20787,1952,0.094
臺東地區,113/07,去重,73746,8652,0.117,13691,1447,0.106
臺東地區,113/07,原,73747,8652,0.117,13691,1447,0.106
臺東地區,113/08,去重,88476,10334,0.117,15133,1540,0.102
臺東地區,113/08,原,88477,10334,0.117,15134,1540,0.102
臺東地區,113/09,去重,101963,10577,0.104,29885,2508,0.084
臺東地區,113/09,原,101965,10577,0.104,29885,2508,0.084
臺東地區,113/10,去重,92330,9805,0.106,27975,2052,0.073
臺東地區,113/10,原,92330,9805,0.106,27975,2052,0.073
臺東地區,113/11,去重,108960,12083,0.111,31885,2360,0.074
臺東地區,113/11,原,108961,12083,0.111,31885,2360,0.074
臺東地區,113/12,去重,107930,11327,0.105,35400,2680,0.076
臺東地區,113/12,原,107931,11327,0.105,35400,2680,0.076
臺東地區,114/01,去重,82955,9649,0.116,24239,2149,0.089
臺東地區,114/01,原,82956,9649,0.116,24239,2149,0.089
臺東地區,114/02,去重,78682,8565,0.109,23780,1974,0.083
臺東地區,114/02,原,78682,8565,0.109,23780,1974,0.083
臺東地區,114/03,去重,98623,10284,0.104,34832,2664,0.076
臺東地區,114/03,原,98624,10284,0.104,34833,2664,0.076
臺東地區,114/04,去重,97975,10178,0.104,32731,2414,0.074
臺東地區,114/04,原,97975,10178,0.104,32731,2414,0.074
臺東地區,114/05,去重,97747,10314,0.106,33837,2694,0.08
臺東地區,114/05,原,97747,10314,0.106,33837,2694,0.08
臺東地區,114/06,去重,92648,10127,0.109,30014,2783,0.093
臺東地區,114/06,原,92650,10127,0.109,30015,2783,0.093
臺東地區,114/07,去重,74323,8968,0.121,17380,1894,0.109
臺東地區,114/07,原,74327,8968,0.121,17382,1894,0.109
臺東地區,114/08,去重,78351,7812,0.1,15839,1473,0.093
臺東地區,114/08,原,78351,7812,0.1,15839,1473,0.093
臺東地區,114/09,去重,90290,7705,0.085,33367,1986,0.06
臺東地區,114/09,原,91387,7705,0.084,34459,1986,0.058
臺東地區,114/10,去重,102362,10464,0.102,35586,2630,0.074
臺東地區,114/10,原,103718,10464,0.101,36939,2630,0.071
臺東地區,114/11,去重,47040,4900,0.104,12462,845,0.068
臺東地區,114/11,原,47040,4900,0.104,12462,845,0.068
臺東地區,114/12,去重,101999,10095,0.099,36966,2446,0.066
臺東地區,114/12,原,101999,10095,0.099,36966,2446,0.066
臺東地區,115/01,去重,81946,7411,0.09,28336,1898,0.067
臺東地區,115/01,原,81946,7411,0.09,28336,1898,0.067
臺東地區,115/02,去重,67155,6951,0.104,15867,1559,0.098
臺東地區,115/02,原,67155,6951,0.104,15867,1559,0.098
臺東地區,115/03,去重,93772,8186,0.087,35317,2041,0.058
臺東地區,115/03,原,93772,8186,0.087,35317,2041,0.058
臺東地區,115/04,去重,94357,8348,0.088,34038,1945,0.057
臺東地區,115/04,原,94357,8348,0.088,34038,1945,0.057
臺東地區,115/05,去重,93765,8452,0.09,33609,2000,0.06
臺東地區,115/05,原,93765,8452,0.09,33609,2000,0.06
臺東地區,115/06,去重,88058,8194,0.093,31791,2029,0.064
臺東地區,115/06,原,88058,8194,0.093,31791,2029,0.064
