資料,月,列數,旗標列,未刷下車列,重複列,重複列占未刷下車%,重複列占全月%,TPASS列數,TPASS重複列,TPASS重複列占TPASS%,非TPASS重複列
花蓮市區,113/06,25137,307,140,0,0,0,3430,0,0,0
花蓮市區,113/07,20798,577,243,1,0.4,0,2778,0,0,1
花蓮市區,113/08,25760,261,150,0,0,0,2889,0,0,0
花蓮市區,113/09,35987,380,300,1,0.3,0,5498,1,0,0
花蓮市區,113/10,33193,316,230,1,0.4,0,6123,1,0,0
花蓮市區,113/11,35521,419,359,4,1.1,0.01,6875,4,0.1,0
花蓮市區,113/12,39379,253,196,1,0.5,0,7842,0,0,1
花蓮市區,114/01,21619,195,136,1,0.7,0,4258,0,0,1
花蓮市區,114/02,22094,172,129,2,1.6,0.01,5695,2,0,0
花蓮市區,114/03,29233,187,132,2,1.5,0.01,8880,1,0,1
花蓮市區,114/04,29369,208,143,3,2.1,0.01,7872,2,0,1
花蓮市區,114/05,28146,213,150,2,1.3,0.01,8375,0,0,2
花蓮市區,114/06,26383,168,121,3,2.5,0.01,6828,3,0,0
花蓮市區,114/07,20568,149,97,0,0,0,4538,0,0,0
花蓮市區,114/08,23101,1745,1662,1519,91.4,6.58,5345,1518,28.4,1
花蓮市區,114/09,33958,3562,3504,3273,93.4,9.64,12161,3271,26.9,2
花蓮市區,114/10,35107,4098,4043,3835,94.9,10.92,13900,3835,27.6,0
花蓮市區,114/11,26905,162,74,1,1.4,0,9808,0,0,1
花蓮市區,114/12,30074,217,110,1,0.9,0,10906,0,0,1
花蓮市區,115/01,21935,0,0,0,0,0,6810,0,0,0
花蓮市區,115/02,19357,0,0,0,0,0,4644,0,0,0
花蓮市區,115/03,28837,0,0,0,0,0,10699,0,0,0
花蓮市區,115/04,14146,0,0,0,0,0,3212,0,0,0
花蓮市區,115/05,8380,0,0,0,0,0,1389,0,0,0
花蓮市區,115/06,6991,0,0,0,0,0,1307,0,0,0
臺東市區,113/06,12309,806,616,2,0.3,0.02,1549,0,0,2
臺東市區,113/07,11518,175,175,1,0.6,0.01,852,0,0,1
臺東市區,113/08,14745,238,238,1,0.4,0.01,988,1,0.1,0
臺東市區,113/09,14433,518,518,2,0.4,0.01,2266,0,0,2
臺東市區,113/10,13452,463,463,0,0,0,2082,0,0,0
臺東市區,113/11,16157,698,189,1,0.5,0.01,2343,0,0,1
臺東市區,113/12,13757,211,137,1,0.7,0.01,2891,0,0,1
臺東市區,114/01,10936,129,129,1,0.8,0.01,1893,0,0,1
臺東市區,114/02,10139,179,141,0,0,0,1890,0,0,0
臺東市區,114/03,12206,169,169,1,0.6,0.01,2716,1,0,0
臺東市區,114/04,14381,267,223,0,0,0,2705,0,0,0
臺東市區,114/05,14840,225,225,0,0,0,2798,0,0,0
臺東市區,114/06,15133,250,250,2,0.8,0.01,2937,1,0,1
臺東市區,114/07,12897,270,270,4,1.5,0.03,1559,2,0.1,2
臺東市區,114/08,14386,333,333,0,0,0,1441,0,0,0
臺東市區,114/09,12926,1708,1650,1097,66.5,8.49,3432,1092,31.8,5
臺東市區,114/10,15782,2052,1980,1355,68.4,8.59,4250,1353,31.8,2
臺東市區,114/11,11433,0,0,0,0,0,2029,0,0,0
臺東市區,114/12,13272,0,0,0,0,0,2287,0,0,0
臺東市區,115/01,11423,0,0,0,0,0,1956,0,0,0
臺東市區,115/02,10483,0,0,0,0,0,1014,0,0,0
臺東市區,115/03,12073,0,0,0,0,0,2195,0,0,0
臺東市區,115/04,12648,0,0,0,0,0,1710,0,0,0
臺東市區,115/05,16134,0,0,0,0,0,2209,0,0,0
臺東市區,115/06,13533,0,0,0,0,0,2063,0,0,0
花蓮公路,113/06,28472,1212,315,3,1,0.01,4745,2,0,1
花蓮公路,113/07,26660,2802,1251,3,0.2,0.01,3577,3,0.1,0
花蓮公路,113/08,27650,1467,627,3,0.5,0.01,3534,3,0.1,0
花蓮公路,113/09,30366,1029,361,0,0,0,5933,0,0,0
花蓮公路,113/10,28780,991,301,0,0,0,5382,0,0,0
花蓮公路,113/11,34724,1432,431,3,0.7,0.01,6074,2,0,1
花蓮公路,113/12,31709,1234,298,0,0,0,5732,0,0,0
花蓮公路,114/01,26085,919,277,1,0.4,0,4124,0,0,1
花蓮公路,114/02,25675,970,265,0,0,0,4591,0,0,0
花蓮公路,114/03,32250,991,296,0,0,0,6670,0,0,0
花蓮公路,114/04,32599,1208,316,1,0.3,0,6309,0,0,1
花蓮公路,114/05,32009,1151,249,0,0,0,6596,0,0,0
花蓮公路,114/06,30017,993,263,1,0.4,0,5807,0,0,1
花蓮公路,114/07,28640,1075,293,1,0.3,0,4546,0,0,1
花蓮公路,114/08,29551,1190,285,0,0,0,3857,0,0,0
花蓮公路,114/09,31191,1174,297,2,0.7,0.01,6525,1,0,1
花蓮公路,114/10,32153,510,275,2,0.7,0.01,6656,0,0,2
花蓮公路,114/11,26571,468,239,0,0,0,5944,0,0,0
花蓮公路,114/12,31861,417,211,0,0,0,7096,0,0,0
花蓮公路,115/01,27594,0,0,0,0,0,5767,0,0,0
花蓮公路,115/02,24146,0,0,0,0,0,3223,0,0,0
花蓮公路,115/03,34104,0,0,0,0,0,7593,0,0,0
花蓮公路,115/04,34305,0,0,0,0,0,7084,0,0,0
花蓮公路,115/05,33146,0,0,0,0,0,6959,0,0,0
花蓮公路,115/06,29272,0,0,0,0,0,5847,0,0,0
臺東公路,113/06,70793,123,57,0,0,0,19238,0,0,0
臺東公路,113/07,62229,433,232,0,0,0,12839,0,0,0
臺東公路,113/08,73732,125,67,0,0,0,14146,0,0,0
臺東公路,113/09,87532,89,45,0,0,0,27619,0,0,0
臺東公路,113/10,78878,103,49,0,0,0,25893,0,0,0
臺東公路,113/11,92804,120,70,0,0,0,29542,0,0,0
臺東公路,113/12,94174,84,48,0,0,0,32509,0,0,0
