資料,月,TPASS,旗標未刷下車列,嚴格鍵命中,嚴格%
花蓮市區,113/06,TRUE,10,0,0
花蓮市區,113/06,FALSE,130,0,0
花蓮市區,113/07,TRUE,2,0,0
花蓮市區,113/07,FALSE,241,1,0.4
花蓮市區,113/08,TRUE,1,0,0
花蓮市區,113/08,FALSE,149,0,0
花蓮市區,113/09,TRUE,15,1,6.7
花蓮市區,113/09,FALSE,285,0,0
花蓮市區,113/10,TRUE,8,1,12.5
花蓮市區,113/10,FALSE,222,0,0
花蓮市區,113/11,TRUE,18,4,22.2
花蓮市區,113/11,FALSE,341,0,0
花蓮市區,113/12,TRUE,8,0,0
花蓮市區,113/12,FALSE,188,1,0.5
花蓮市區,114/01,TRUE,6,0,0
花蓮市區,114/01,FALSE,130,1,0.8
花蓮市區,114/02,TRUE,22,2,9.1
花蓮市區,114/02,FALSE,107,0,0
花蓮市區,114/03,TRUE,17,1,5.9
花蓮市區,114/03,FALSE,115,1,0.9
花蓮市區,114/04,TRUE,11,2,18.2
花蓮市區,114/04,FALSE,132,1,0.8
花蓮市區,114/05,TRUE,12,0,0
花蓮市區,114/05,FALSE,138,2,1.4
花蓮市區,114/06,TRUE,13,3,23.1
花蓮市區,114/06,FALSE,108,0,0
花蓮市區,114/07,TRUE,10,0,0
花蓮市區,114/07,FALSE,87,0,0
花蓮市區,114/08,TRUE,1525,1518,99.5
花蓮市區,114/08,FALSE,137,1,0.7
花蓮市區,114/09,TRUE,3310,3271,98.8
花蓮市區,114/09,FALSE,194,2,1
花蓮市區,114/10,TRUE,3865,3835,99.2
花蓮市區,114/10,FALSE,178,0,0
花蓮市區,114/11,FALSE,74,1,1.4
花蓮市區,114/12,TRUE,2,0,0
花蓮市區,114/12,FALSE,108,1,0.9
臺東市區,113/06,TRUE,165,0,0
臺東市區,113/06,FALSE,451,2,0.4
臺東市區,113/07,TRUE,5,0,0
臺東市區,113/07,FALSE,170,1,0.6
臺東市區,113/08,TRUE,20,1,5
臺東市區,113/08,FALSE,218,0,0
臺東市區,113/09,TRUE,253,0,0
臺東市區,113/09,FALSE,265,2,0.8
臺東市區,113/10,TRUE,217,0,0
臺東市區,113/10,FALSE,246,0,0
臺東市區,113/11,TRUE,8,0,0
臺東市區,113/11,FALSE,181,1,0.6
臺東市區,113/12,TRUE,19,0,0
臺東市區,113/12,FALSE,118,1,0.8
臺東市區,114/01,TRUE,9,0,0
臺東市區,114/01,FALSE,120,1,0.8
臺東市區,114/02,TRUE,4,0,0
臺東市區,114/02,FALSE,137,0,0
臺東市區,114/03,TRUE,23,1,4.3
臺東市區,114/03,FALSE,146,0,0
臺東市區,114/04,TRUE,16,0,0
臺東市區,114/04,FALSE,207,0,0
臺東市區,114/05,TRUE,7,0,0
臺東市區,114/05,FALSE,218,0,0
臺東市區,114/06,TRUE,19,1,5.3
臺東市區,114/06,FALSE,231,1,0.4
臺東市區,114/07,TRUE,28,2,7.1
臺東市區,114/07,FALSE,242,2,0.8
臺東市區,114/08,TRUE,13,0,0
臺東市區,114/08,FALSE,320,0,0
臺東市區,114/09,TRUE,1359,1092,80.4
臺東市區,114/09,FALSE,291,5,1.7
臺東市區,114/10,TRUE,1599,1353,84.6
臺東市區,114/10,FALSE,381,2,0.5
花蓮公路,113/06,TRUE,73,2,2.7
花蓮公路,113/06,FALSE,242,1,0.4
花蓮公路,113/07,TRUE,171,3,1.8
花蓮公路,113/07,FALSE,1080,0,0
花蓮公路,113/08,TRUE,68,3,4.4
花蓮公路,113/08,FALSE,559,0,0
花蓮公路,113/09,TRUE,32,0,0
花蓮公路,113/09,FALSE,329,0,0
花蓮公路,113/10,TRUE,44,0,0
花蓮公路,113/10,FALSE,257,0,0
花蓮公路,113/11,TRUE,42,2,4.8
花蓮公路,113/11,FALSE,389,1,0.3
花蓮公路,113/12,TRUE,20,0,0
花蓮公路,113/12,FALSE,278,0,0
花蓮公路,114/01,TRUE,11,0,0
花蓮公路,114/01,FALSE,266,1,0.4
花蓮公路,114/02,TRUE,25,0,0
花蓮公路,114/02,FALSE,240,0,0
花蓮公路,114/03,TRUE,18,0,0
花蓮公路,114/03,FALSE,278,0,0
花蓮公路,114/04,TRUE,17,0,0
花蓮公路,114/04,FALSE,299,1,0.3
花蓮公路,114/05,TRUE,14,0,0
花蓮公路,114/05,FALSE,235,0,0
花蓮公路,114/06,TRUE,36,0,0
花蓮公路,114/06,FALSE,227,1,0.4
花蓮公路,114/07,TRUE,12,0,0
花蓮公路,114/07,FALSE,281,1,0.4
花蓮公路,114/08,TRUE,11,0,0
花蓮公路,114/08,FALSE,274,0,0
花蓮公路,114/09,TRUE,22,1,4.5
花蓮公路,114/09,FALSE,275,1,0.4
花蓮公路,114/10,TRUE,16,0,0
花蓮公路,114/10,FALSE,259,2,0.8
花蓮公路,114/11,TRUE,35,0,0
花蓮公路,114/11,FALSE,204,0,0
