資料,月,人數_原,僅一次%_原,五次以上%_原,人次_原,人數_去重,僅一次%_去重,五次以上%_去重,人次_去重
花蓮市區,113/06,2113,45.9,0.3,3430,2113,45.9,0.3,3430
花蓮市區,113/07,1631,37.1,0.2,2778,1631,37.1,0.2,2778
花蓮市區,113/08,1724,42.1,0.3,2889,1724,42.1,0.3,2889
花蓮市區,113/09,3390,45.3,0.2,5498,3390,45.3,0.2,5497
花蓮市區,113/10,3661,42.2,0.3,6123,3661,42.2,0.3,6122
花蓮市區,113/11,4155,42.4,0.3,6875,4155,42.4,0.3,6871
花蓮市區,113/12,4745,43,0.4,7842,4745,43,0.4,7842
花蓮市區,114/01,2550,41.7,0.2,4258,2550,41.7,0.2,4258
花蓮市區,114/02,3373,40.1,0.3,5695,3373,40.1,0.3,5693
花蓮市區,114/03,5205,38.3,0.3,8880,5205,38.3,0.3,8879
花蓮市區,114/04,4753,41.6,0.3,7872,4753,41.6,0.3,7870
花蓮市區,114/05,4996,39.8,0.3,8375,4996,39.8,0.3,8375
花蓮市區,114/06,4090,41.1,0.3,6828,4090,41.1,0.3,6825
花蓮市區,114/07,2672,39.8,0.4,4538,2672,39.8,0.4,4538
花蓮市區,114/08,2259,25.2,3.7,5345,2259,40.4,0.2,3827
花蓮市區,114/09,5307,29.2,3.7,12161,5307,42,0.5,8890
花蓮市區,114/10,5983,28.4,3.5,13900,5983,40.9,0.3,10065
花蓮市區,114/11,5799,41.1,0.3,9808,5799,41.1,0.3,9808
花蓮市區,114/12,6530,41.8,0.4,10906,6530,41.8,0.4,10906
花蓮市區,115/01,4068,44.4,0.6,6810,4068,44.4,0.6,6810
花蓮市區,115/02,2721,41.6,0.3,4644,2721,41.6,0.3,4644
花蓮市區,115/03,6438,42.7,0.1,10699,6438,42.7,0.1,10699
花蓮市區,115/04,2236,61.4,0.1,3212,2236,61.4,0.1,3212
花蓮市區,115/05,1119,78.6,0.2,1389,1119,78.6,0.2,1389
花蓮市區,115/06,1036,78.5,0.3,1307,1036,78.5,0.3,1307
臺東市區,113/06,215,35.8,40,1549,215,35.8,40,1549
臺東市區,113/07,160,33.8,29.4,852,160,33.8,29.4,852
臺東市區,113/08,229,41.9,21.8,988,229,41.9,21.4,987
臺東市區,113/09,304,27,43.8,2266,304,27,43.8,2266
臺東市區,113/10,302,33.1,42.1,2082,302,33.1,42.1,2082
臺東市區,113/11,329,27.1,41.9,2343,329,27.1,41.9,2343
臺東市區,113/12,309,28.2,44.7,2891,309,28.2,44.7,2891
臺東市區,114/01,288,29.9,40.6,1893,288,29.9,40.6,1893
臺東市區,114/02,299,27.4,38.5,1890,299,27.4,38.5,1890
臺東市區,114/03,303,27.7,44.9,2716,303,27.7,44.9,2715
臺東市區,114/04,338,26.9,39.1,2705,338,26.9,39.1,2705
臺東市區,114/05,363,28.1,38,2798,363,28.1,38,2798
臺東市區,114/06,362,26.2,38.4,2937,362,26.2,38.4,2936
臺東市區,114/07,290,33.8,26.6,1559,290,33.8,26.6,1557
臺東市區,114/08,351,39.3,20.2,1441,351,39.3,20.2,1441
臺東市區,114/09,375,10.7,43.7,3432,375,27.2,35.5,2340
臺東市區,114/10,403,10.9,45.4,4250,403,26.6,36.2,2897
臺東市區,114/11,325,33.2,32.9,2029,325,33.2,32.9,2029
臺東市區,114/12,330,29.7,35.8,2287,330,29.7,35.8,2287
