資料,月,類別,旗標列,嚴格鍵命中,嚴格%,寬鬆鍵命中,寬鬆%
花蓮市區,113/06,未刷上車,167,2,1.2,47,28.1
花蓮市區,113/06,未刷下車,140,0,0,16,11.4
花蓮市區,113/07,未刷上車,334,0,0,34,10.2
花蓮市區,113/07,未刷下車,243,1,0.4,13,5.3
花蓮市區,113/08,未刷上車,111,0,0,50,45
花蓮市區,113/08,未刷下車,150,0,0,5,3.3
花蓮市區,113/09,未刷上車,80,3,3.8,42,52.5
花蓮市區,113/09,未刷下車,300,1,0.3,21,7
花蓮市區,113/10,兩端時間正常僅站序-99,9,0,0,0,0
花蓮市區,113/10,未刷上車,77,0,0,31,40.3
花蓮市區,113/10,未刷下車,230,1,0.4,8,3.5
花蓮市區,113/11,兩端時間正常僅站序-99,5,0,0,0,0
花蓮市區,113/11,未刷上車,55,0,0,28,50.9
花蓮市區,113/11,未刷下車,359,4,1.1,12,3.3
花蓮市區,113/12,兩端時間正常僅站序-99,1,0,0,0,0
花蓮市區,113/12,未刷上車,56,0,0,18,32.1
花蓮市區,113/12,未刷下車,196,1,0.5,11,5.6
花蓮市區,114/01,兩端時間正常僅站序-99,2,0,0,1,50
花蓮市區,114/01,未刷上車,57,0,0,31,54.4
花蓮市區,114/01,未刷下車,136,1,0.7,7,5.1
花蓮市區,114/02,兩端時間正常僅站序-99,1,0,0,0,0
花蓮市區,114/02,未刷上車,42,0,0,17,40.5
花蓮市區,114/02,未刷下車,129,2,1.6,4,3.1
花蓮市區,114/03,兩端時間正常僅站序-99,2,0,0,0,0
花蓮市區,114/03,未刷上車,53,0,0,31,58.5
花蓮市區,114/03,未刷下車,132,2,1.5,6,4.5
花蓮市區,114/04,未刷上車,65,0,0,29,44.6
花蓮市區,114/04,未刷下車,143,3,2.1,7,4.9
花蓮市區,114/05,未刷上車,63,0,0,34,54
花蓮市區,114/05,未刷下車,150,2,1.3,14,9.3
花蓮市區,114/06,未刷上車,47,2,4.3,22,46.8
花蓮市區,114/06,未刷下車,121,3,2.5,11,9.1
花蓮市區,114/07,兩端時間正常僅站序-99,3,0,0,0,0
花蓮市區,114/07,未刷上車,49,1,2,20,40.8
花蓮市區,114/07,未刷下車,97,0,0,4,4.1
花蓮市區,114/08,未刷上車,83,1,1.2,40,48.2
花蓮市區,114/08,未刷下車,1662,1519,91.4,1524,91.7
花蓮市區,114/09,未刷上車,58,2,3.4,32,55.2
花蓮市區,114/09,未刷下車,3504,3273,93.4,3280,93.6
花蓮市區,114/10,未刷上車,55,2,3.6,25,45.5
花蓮市區,114/10,未刷下車,4043,3835,94.9,3842,95
花蓮市區,114/11,兩端時間正常僅站序-99,5,0,0,0,0
花蓮市區,114/11,未刷上車,83,2,2.4,34,41
花蓮市區,114/11,未刷下車,74,1,1.4,3,4.1
花蓮市區,114/12,未刷上車,107,0,0,41,38.3
花蓮市區,114/12,未刷下車,110,1,0.9,6,5.5
臺東市區,113/06,未刷上車,190,0,0,3,1.6
臺東市區,113/06,未刷下車,616,2,0.3,19,3.1
臺東市區,113/07,未刷下車,175,1,0.6,3,1.7
臺東市區,113/08,未刷下車,238,1,0.4,5,2.1
臺東市區,113/09,未刷下車,518,2,0.4,13,2.5
臺東市區,113/10,未刷下車,463,0,0,13,2.8
臺東市區,113/11,未刷上車,509,0,0,2,0.4
臺東市區,113/11,未刷下車,189,1,0.5,16,8.5
臺東市區,113/12,未刷上車,74,0,0,0,0
臺東市區,113/12,未刷下車,137,1,0.7,7,5.1
臺東市區,114/01,未刷下車,129,1,0.8,9,7
臺東市區,114/02,未刷上車,38,0,0,0,0
臺東市區,114/02,未刷下車,141,0,0,6,4.3
臺東市區,114/03,未刷下車,169,1,0.6,11,6.5
臺東市區,114/04,未刷上車,44,0,0,0,0
臺東市區,114/04,未刷下車,223,0,0,9,4
臺東市區,114/05,未刷下車,225,0,0,6,2.7
臺東市區,114/06,未刷下車,250,2,0.8,16,6.4
臺東市區,114/07,未刷下車,270,4,1.5,18,6.7
臺東市區,114/08,未刷下車,333,0,0,14,4.2
臺東市區,114/09,未刷上車,58,0,0,6,10.3
臺東市區,114/09,未刷下車,1650,1097,66.5,1304,79
臺東市區,114/10,未刷上車,72,0,0,2,2.8
臺東市區,114/10,未刷下車,1980,1355,68.4,1581,79.8
花蓮公路,113/06,兩端時間正常僅站序-99,491,0,0,10,2
花蓮公路,113/06,未刷上車,406,1,0.2,61,15
花蓮公路,113/06,未刷下車,315,3,1,13,4.1
花蓮公路,113/07,兩端時間正常僅站序-99,464,1,0.2,7,1.5
