月,日期,TPASS列數,旗標列,旗標%,重複列,卡數
114/09,2025-09-01,128,55,43,47,57
114/09,2025-09-02,129,53,41.1,44,62
114/09,2025-09-03,93,37,39.8,30,48
114/09,2025-09-04,138,58,42,50,58
114/09,2025-09-05,86,34,39.5,30,39
114/09,2025-09-06,68,27,39.7,20,31
114/09,2025-09-07,42,19,45.2,14,21
114/09,2025-09-08,99,40,40.4,30,48
114/09,2025-09-09,102,43,42.2,36,49
114/09,2025-09-10,129,51,39.5,41,57
114/09,2025-09-11,101,40,39.6,32,47
114/09,2025-09-12,106,43,40.6,34,46
114/09,2025-09-13,77,35,45.5,24,31
114/09,2025-09-14,74,34,45.9,27,32
114/09,2025-09-15,169,63,37.3,53,81
114/09,2025-09-16,156,71,45.5,38,92
114/09,2025-09-17,196,79,40.3,63,100
114/09,2025-09-18,174,68,39.1,65,85
114/09,2025-09-19,203,73,36,58,103
114/09,2025-09-20,85,42,49.4,31,34
114/09,2025-09-21,76,30,39.5,24,38
114/09,2025-09-22,157,58,36.9,52,82
114/09,2025-09-24,125,46,36.8,39,69
114/09,2025-09-25,159,61,38.4,51,79
114/09,2025-09-26,183,66,36.1,51,97
114/09,2025-09-27,58,20,34.5,16,30
114/09,2025-09-28,77,33,42.9,22,35
114/09,2025-09-29,59,23,39,18,32
114/09,2025-09-30,183,65,35.5,52,96
114/10,2025-10-01,159,62,39,55,79
114/10,2025-10-02,174,69,39.7,58,82
114/10,2025-10-03,214,83,38.8,66,104
114/10,2025-10-04,92,42,45.7,34,33
114/10,2025-10-05,73,34,46.6,29,26
114/10,2025-10-06,75,32,42.7,26,34
114/10,2025-10-07,174,66,37.9,58,89
114/10,2025-10-08,173,67,38.7,61,86
114/10,2025-10-09,158,62,39.2,54,79
114/10,2025-10-10,40,19,47.5,14,19
114/10,2025-10-11,52,24,46.2,18,25
114/10,2025-10-12,69,27,39.1,24,33
114/10,2025-10-13,175,65,37.1,52,87
114/10,2025-10-14,209,75,35.9,63,93
114/10,2025-10-15,167,59,35.3,51,85
114/10,2025-10-16,159,60,37.7,49,83
114/10,2025-10-17,188,69,36.7,60,90
114/10,2025-10-18,53,21,39.6,13,23
114/10,2025-10-19,74,27,36.5,22,34
114/10,2025-10-20,165,57,34.5,47,85
114/10,2025-10-21,170,62,36.5,54,83
114/10,2025-10-22,171,60,35.1,51,88
114/10,2025-10-23,167,63,37.7,52,81
114/10,2025-10-24,68,24,35.3,19,25
114/10,2025-10-25,97,41,42.3,37,36
114/10,2025-10-26,87,31,35.6,27,37
114/10,2025-10-27,162,53,32.7,44,82
114/10,2025-10-28,169,60,35.5,53,82
114/10,2025-10-29,169,64,37.9,56,80
114/10,2025-10-30,169,60,35.5,50,83
114/10,2025-10-31,178,63,35.4,56,88
