月,人數,僅一次,二次,三四次,五次以上,僅一次%,五次以上%,人次,旗標列,旗標%,旗標未刷下車列,旗標未刷上車列,與正常列重複,重複率%,去重後人次,去重後僅一次%,去重後五次以上%,非TPASS旗標未刷下車列,非TPASS重複率%
113/06,215,77,24,28,86,35.8,40,1549,175,11.3,165,10,0,0,1549,35.8,40,451,0.4
113/07,160,54,30,29,47,33.8,29.4,852,5,0.6,5,0,0,0,852,33.8,29.4,170,0.6
113/08,229,96,52,31,50,41.9,21.8,988,20,2,20,0,1,5,987,41.9,21.4,218,0
113/09,304,82,48,41,133,27,43.8,2266,253,11.2,253,0,0,0,2266,27,43.8,265,0.8
113/10,302,100,38,37,127,33.1,42.1,2082,217,10.4,217,0,0,0,2082,33.1,42.1,246,0
113/11,329,89,65,37,138,27.1,41.9,2343,353,15.1,8,345,0,0,2343,27.1,41.9,181,0.6
113/12,309,87,46,38,138,28.2,44.7,2891,76,2.6,19,57,0,0,2891,28.2,44.7,118,0.8
114/01,288,86,47,38,117,29.9,40.6,1893,9,0.5,9,0,0,0,1893,29.9,40.6,120,0.8
114/02,299,82,49,53,115,27.4,38.5,1890,35,1.9,4,31,0,0,1890,27.4,38.5,137,0
114/03,303,84,39,44,136,27.7,44.9,2716,23,0.8,23,0,1,4.3,2715,27.7,44.9,146,0
114/04,338,91,61,54,132,26.9,39.1,2705,53,2,16,37,0,0,2705,26.9,39.1,207,0
114/05,363,102,65,58,138,28.1,38,2798,7,0.3,7,0,0,0,2798,28.1,38,218,0
114/06,362,95,57,71,139,26.2,38.4,2937,19,0.6,19,0,1,5.3,2936,26.2,38.4,231,0.4
114/07,290,98,57,58,77,33.8,26.6,1559,28,1.8,28,0,2,7.1,1557,33.8,26.6,242,0.8
114/08,351,138,77,65,71,39.3,20.2,1441,13,0.9,13,0,0,0,1441,39.3,20.2,320,0
114/09,375,40,98,73,164,10.7,43.7,3432,1367,39.8,1359,8,1092,80.4,2340,27.2,35.5,291,1.7
114/10,403,44,106,70,183,10.9,45.4,4250,1601,37.7,1599,2,1353,84.6,2897,26.6,36.2,381,0.5
114/11,325,108,57,53,107,33.2,32.9,2029,0,0,0,0,0,0,2029,33.2,32.9,0,0
114/12,330,98,61,53,118,29.7,35.8,2287,0,0,0,0,0,0,2287,29.7,35.8,0,0
115/01,316,98,55,62,101,31,32,1956,0,0,0,0,0,0,1956,31,32,0,0
115/02,280,103,62,59,56,36.8,20,1014,0,0,0,0,0,0,1014,36.8,20,0,0
115/03,343,121,52,59,111,35.3,32.4,2195,0,0,0,0,0,0,2195,35.3,32.4,0,0
115/04,339,133,57,49,100,39.2,29.5,1710,0,0,0,0,0,0,1710,39.2,29.5,0,0
115/05,415,150,71,77,117,36.1,28.2,2209,0,0,0,0,0,0,2209,36.1,28.2,0,0
115/06,430,140,95,72,123,32.6,28.6,2063,0,0,0,0,0,0,2063,32.6,28.6,0,0
