月份,現行,鏡像版,人次,差
113/06,23.44,23.14,20148,0.3
113/07,24.81,24.5,17815,0.31
113/08,24.36,23.97,21281,0.39
113/09,22.65,22.41,27316,0.24
113/10,21.89,21.53,26316,0.36
113/11,21.76,21.24,31473,0.52
113/12,22.66,22.36,30475,0.3
114/01,23.86,23.59,25166,0.27
114/02,23.35,23.15,24705,0.2
114/03,22.46,22.29,31259,0.17
114/04,22.79,22.55,31398,0.24
114/05,22.41,22.21,30858,0.2
114/06,23.19,22.97,29024,0.22
114/07,24.46,24.19,27565,0.27
114/08,24.33,23.96,28361,0.37
114/09,22.1,21.89,30017,0.21
114/10,22.12,21.91,31643,0.21
114/11,21.93,21.76,26103,0.17
114/12,22.14,21.96,31444,0.18
115/01,21.62,21.48,27594,0.14
115/02,24.38,24.15,24146,0.23
115/03,21.2,21.06,34104,0.14
115/04,22.15,21.98,34305,0.17
115/05,21.41,21.25,33146,0.16
115/06,22.17,21.96,29272,0.21
