上車站牌名稱,下車站牌名稱,票證數,上序,下序,現行_公里,鏡像_公里
花蓮轉運站,海洋公園,3837,1,23,26.88,13.85
花蓮轉運站,中華路,1864,1,5,7.71,2.39
花蓮轉運站,豐濱,1549,1,60,55.95,52.47
花蓮轉運站,成功,1189,1,126,119.15,119.15
花蓮轉運站,花蓮文創園區(中正),903,1,6,8.52,2.88
花蓮轉運站,靜浦,623,1,79,73.46,71.73
花蓮轉運站,中福站,608,1,7,9.68,3.22
花蓮轉運站,明禮國小,589,1,4,7.44,1.67
花蓮轉運站,港口,561,1,72,69.02,68.18
花蓮轉運站,豐濱監工站,540,1,59,54.83,51.7
花蓮轉運站,三仙台遊憩區,511,1,118,115.09,106.76
花蓮轉運站,長光,423,1,94,90.79,85.5
花蓮轉運站,海岸南海一街口,418,1,13,18.1,5.57
豐濱,石梯漁港,416,60,67,10.73,10.73
花蓮轉運站,長濱,396,1,95,91.12,85.76
中華路,大石鼻山步道,395,5,43,37.6,39.19
花蓮轉運站,南福德,388,1,25,28.5,16.45
花蓮轉運站,靜浦教會,349,1,78,72.6,71.17
花蓮轉運站,中正國小,347,1,8,10.63,3.64
花蓮轉運站,獅子山,342,1,73,69.78,68.57
中福站,海洋公園,337,7,23,17.2,10.63
花蓮轉運站,市民廣場,325,1,3,4.75,1.24
中華路,豐濱,307,5,60,48.24,50.09
中華路,海洋公園,302,5,23,19.18,11.46
花蓮轉運站,靜浦國小,300,1,77,71.66,70.75
花蓮轉運站,鹽寮,293,1,27,28.83,17.68
花蓮轉運站,南樟原,281,1,85,77.92,74.54
中華路,水璉,234,5,34,28.41,26.17
花蓮轉運站,新社國小,223,1,49,47.98,46.55
花蓮轉運站,仁里橋,220,1,9,12.39,4.06
花蓮轉運站,石梯坪遊憩區,211,1,68,67.46,64.32
花蓮轉運站,長濱分駐所,206,1,96,95.91,86.97
花蓮轉運站,北回歸線,194,1,80,75.03,72.33
花蓮轉運站,大石鼻山步道,193,1,43,45.31,41.58
豐濱,石梯坪遊憩區,190,60,68,11.5,11.85
花蓮轉運站,高山,185,1,45,45.82,42.68
中華路,豐濱監工站,181,5,59,47.12,49.31
花蓮轉運站,大俱來,180,1,88,83.9,76.75
高山,豐濱監工站,178,45,59,9,9.02
花蓮轉運站,城子埔,175,1,93,90.59,83.03
花蓮轉運站,和南寺,171,1,26,28.67,17
南埔加油站,和南寺,168,11,26,12.75,12.32
花蓮轉運站,北東興,167,1,52,49.81,48.19
花蓮轉運站,樟原,166,1,86,78.72,75.33
中華路,石梯漁港,164,5,67,58.97,60.81
花蓮文創園區(中正),海洋公園,161,6,23,18.37,10.97
花蓮轉運站,北樟原,159,1,84,77.57,73.85
花蓮轉運站,長虹橋,149,1,75,70.97,69.34
花蓮轉運站,小港,144,1,58,54.52,51.01
花蓮轉運站,奚卜蘭遊客中心,141,1,76,71.22,70.14
中華路,奚卜蘭遊客中心,140,5,76,63.51,67.75
花蓮轉運站,大港口,140,1,74,70.34,68.96
中華路,吉安分局,139,5,10,6.76,1.99
花蓮轉運站,吉安分局,134,1,10,14.47,4.38
花蓮轉運站,北石梯坪,132,1,69,68.15,64.63
花蓮轉運站,水璉一街,128,1,33,33.65,28.37
吉安分局,磯崎,128,10,40,29.1,32.84
明禮國小,豐濱監工站,125,4,59,47.39,50.02
花蓮轉運站,長濱鄉公所,125,1,97,97.03,87.44
花蓮轉運站,南石梯坪,123,1,70,68.54,66.96
花蓮轉運站,八仙洞,122,1,87,81.93,75.59
花蓮轉運站,海岸南海八街口,120,1,16,20.38,7.04
豐濱,靜浦,117,60,79,17.51,19.26
花蓮轉運站,恩主公廟,114,1,57,52.2,50.61
大石鼻山步道,豐濱監工站,114,43,59,9.52,10.12
花蓮轉運站,石梯漁港,113,1,67,66.68,63.2
鹽寮,牛寮坑,113,27,38,11.94,16.68
花蓮文創園區(中正),恩主公廟,113,6,57,43.68,47.74
花蓮轉運站,海岸南海十一街口,112,1,17,20.85,7.74
花蓮轉運站,海岸南海二街口,112,1,14,19.37,5.85
