搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,業者編號,票證數,平均里程_公里,站序中位數_上,站序中位數_下,皆配到票證數,皆配到平均里程_公里,資料集
1145,1145,0,1201,29782,41.7,1,60,7,0,花蓮公路
1145,1145,0,1602,11685,43.52,1,54,7,0,花蓮公路
1137,1137,1,1201,925,11.74,11,21,7917,16.11,花蓮公路
1135,1135,1,1201,576,12.03,25,27.5,16819,12.62,花蓮公路
1140,1140,1,1201,391,12.8,61,83,49992,30.03,花蓮公路
1139,1139C,1,1201,302,10.2,25,38,15859,12.03,花蓮公路
1135,1135A,1,1201,118,17.66,2,25,4566,12.95,花蓮公路
1139,1139,1,1201,90,9.71,27,38,7953,9.7,花蓮公路
1135,1135A,0,1201,71,8.89,2,11,5743,14.14,花蓮公路
1139,1139B,1,1201,65,6.34,38,48,6957,12.16,花蓮公路
1145,1145,1,1201,6,10.1,104,121.5,31899,45.82,花蓮公路
1145,1145,0,1201,29782,41.7,1,60,7,0,臺東公路
8129,8129,1,0816,29039,8.67,5,16,124039,12.04,臺東公路
1145,1145,0,1602,11685,43.52,1,54,7,0,臺東公路
8101,8101A,0,1602,8998,24.01,4,5,67300,71.48,臺東公路
8152,8152A,1,0816,3469,20.89,1,34,12014,21.23,臺東公路
8129,8129,0,0816,2987,8.2,20,31,146703,11.63,臺東公路
8101,8101B,0,1602,1449,31.38,3,4,4221,42.52,臺東公路
8168,8168A,0,0816,1336,35.33,4,11,14671,26.93,臺東公路
8150,8150,1,0816,953,12.02,1,8,13210,18.83,臺東公路
8129,8129A,0,0816,463,16.77,1,20,5526,9.79,臺東公路
8101,8101C,0,1602,161,46.68,5,2,756,35.33,臺東公路
8101,8101D,0,1602,46,23.09,3,4,8784,37.95,臺東公路
8129,8129A,1,0816,21,11.77,1,14,274,9.62,臺東公路
1145,1145,1,1201,6,10.1,104,121.5,31899,45.82,臺東公路
8131,8131A,1,0816,5,6.9,7,12,4947,14.12,臺東公路
