月份,甲_全取abs,人次_甲,乙_丟反向,人次_乙,丙_排除異常路線,人次_丙,甲減丙,乙減丙,資料集
113/06,24.6,62709,23.17,61787,22.31,59324,2.29,0.86,臺東公路
113/07,27.52,53886,25.23,52377,24.02,48252,3.5,1.21,臺東公路
113/08,30.07,64775,26.12,61697,24.17,53895,5.9,1.95,臺東公路
113/09,26.29,78758,23.39,76274,21.78,70348,4.51,1.61,臺東公路
113/10,25.28,71175,23.19,69884,21.81,66017,3.47,1.38,臺東公路
113/11,25.11,82621,22.85,80962,21.23,76258,3.88,1.62,臺東公路
113/12,24.71,85476,22.36,83966,21.21,79310,3.5,1.15,臺東公路
114/01,24.74,65956,23.36,65245,22.74,63125,2,0.62,臺東公路
114/02,24.51,62302,22.92,61549,22.28,59358,2.23,0.64,臺東公路
114/03,23.65,79031,22.19,78140,21.57,75501,2.08,0.62,臺東公路
114/04,23.56,76533,22.1,75683,21.47,73160,2.09,0.63,臺東公路
114/05,23.55,76141,22.22,75362,21.66,72932,1.89,0.56,臺東公路
114/06,24.89,71091,23.18,69514,22.41,66605,2.48,0.77,臺東公路
114/07,26.17,55471,24.81,54158,24.21,52032,1.96,0.6,臺東公路
114/08,27.36,57311,25.59,55986,24.9,53580,2.46,0.69,臺東公路
114/09,23.23,74898,22.14,73821,21.61,71981,1.62,0.53,臺東公路
114/10,23.6,84743,22.2,83211,21.56,80502,2.04,0.64,臺東公路
114/11,31.54,33517,29.09,32620,28.13,31003,3.41,0.96,臺東公路
114/12,22.12,86243,21.41,85485,21.12,83928,1,0.29,臺東公路
115/01,21.57,68687,21.23,68397,21.07,67462,0.5,0.16,臺東公路
115/02,23.62,54981,23.29,54781,23.24,54109,0.38,0.05,臺東公路
115/03,21.4,79956,21.06,79654,21.08,78572,0.32,-0.02,臺東公路
115/04,21.87,79810,21.43,79393,21.46,78088,0.41,-0.03,臺東公路
115/05,22.1,75910,21.74,75610,21.77,74631,0.33,-0.03,臺東公路
115/06,22.23,72535,21.99,72336,22.03,71690,0.2,-0.04,臺東公路
113/06,18.21,21433,16.66,20608,15.29,19406,2.92,1.37,花蓮市區
113/07,17.07,17634,16.05,17193,15.34,16279,1.73,0.71,花蓮市區
113/08,18.41,22368,16.37,21364,15.48,19035,2.93,0.89,花蓮市區
113/09,17.71,31684,15.74,30482,15.3,27075,2.41,0.44,花蓮市區
113/10,17.61,29651,16,28708,15.6,26158,2.01,0.4,花蓮市區
113/11,15.3,34611,13.96,33702,13.45,31384,1.85,0.51,花蓮市區
113/12,16.22,38752,14.55,37306,13.69,34301,2.53,0.86,花蓮市區
114/01,13.36,21133,12.34,20707,11.76,19753,1.6,0.58,花蓮市區
114/02,13.55,21745,12.54,21298,11.91,20388,1.64,0.63,花蓮市區
114/03,13.28,28712,12.55,28299,12.17,27354,1.11,0.38,花蓮市區
114/04,13.31,28689,12.55,28268,12.17,27295,1.14,0.38,花蓮市區
114/05,12.04,27472,12.04,27472,12.04,27472,0,0,花蓮市區
114/06,13.46,25723,12.53,25265,12.09,24101,1.37,0.44,花蓮市區
114/07,12.67,20161,11.69,19794,11.19,18906,1.48,0.5,花蓮市區
114/08,13.31,21027,12.25,20595,11.76,19534,1.55,0.49,花蓮市區
114/09,13.36,30103,12.6,29670,12.28,28557,1.08,0.32,花蓮市區
114/10,13.14,30612,12.44,30198,12.12,29170,1.02,0.32,花蓮市區
114/11,11.82,25816,11.39,25586,11.07,25202,0.75,0.32,花蓮市區
114/12,11.82,28777,11.5,28575,11.23,28332,0.59,0.27,花蓮市區
115/01,11.03,21165,10.8,21085,10.57,20913,0.46,0.23,花蓮市區
115/02,11.25,18556,11.13,18519,10.96,18408,0.29,0.17,花蓮市區
115/03,11.69,28622,11.66,28192,11.47,28491,0.22,0.19,花蓮市區
115/04,11.47,14043,11.46,13596,11.17,13950,0.3,0.29,花蓮市區
115/05,9.56,8257,9.25,7720,8.86,8066,0.7,0.39,花蓮市區
115/06,8.49,6836,8.12,6371,7.88,6735,0.61,0.24,花蓮市區
