上車站牌名稱,下車站牌名稱,票證數,反向數,上車表站序,下車表站序,票證上車站序_中位,票證下車站序_中位,abs里程_公里,資料集,搭乘附屬路線名稱,搭乘公車路線方向
台東轉運站,小野柳,10478,5181,11,3,1,3,118.38,臺東公路,8101A,0
台東火車站,小野柳,5231,2809,10,3,10,3,111.56,臺東公路,8101A,0
水往上流,台東轉運站,4128,2264,9,11,9,1,127.68,臺東公路,8101A,0
三仙台遊憩區,台東轉運站,3972,2034,8,1,8,1,119.68,臺東公路,8101A,0
三仙台遊憩區,台東火車站,3966,1947,8,2,8,10,110.46,臺東公路,8101A,0
台東轉運站,台東火車站,3342,1658,1,2,1,10,119.26,臺東公路,8101A,0
水往上流,台東火車站,3261,1466,9,2,9,10,101.81,臺東公路,8101A,0
台東火車站,台東轉運站,2165,1109,2,11,10,1,121.13,臺東公路,8101A,0
台東火車站,台東火車站,355,86,10,2,10,10,107.96,臺東公路,8101A,0
台東轉運站,台東轉運站,283,70,11,1,1,1,117.14,臺東公路,8101A,0
台東火車站,阿美族民俗中心,46,24,10,5,10,5,109.94,臺東公路,8101A,0
台東轉運站,阿美族民俗中心,27,13,11,5,1,5,119.67,臺東公路,8101A,0
台東火車站,成功漁港,16,8,2,6,6,6,111.42,臺東公路,8101A,0
台東火車站,三仙台遊憩區,12,6,2,8,6.5,8,111.42,臺東公路,8101A,0
小野柳,台東火車站,10,5,3,10,3,6.5,111.42,臺東公路,8101A,0
台東火車站,水往上流,4,4,10,9,10,9,16.22,臺東公路,8101A,0
台東轉運站,水往上流,6,3,1,9,6,9,118.39,臺東公路,8101A,0
台東轉運站,三仙台遊憩區,6,3,11,8,6,8,118.39,臺東公路,8101A,0
成功漁港,台東火車站,6,3,6,10,6,6,111.42,臺東公路,8101A,0
成功漁港,台東轉運站,3,2,6,1,6,1,134.36,臺東公路,8101A,0
台東火車站,渚橋,2,2,10,4,10,4,104.11,臺東公路,8101A,0
小野柳,台東轉運站,2,1,3,1,3,6.5,118.39,臺東公路,8101A,0
台東轉運站,成功漁港,2,1,1,6,6,6,118.39,臺東公路,8101A,0
阿美族民俗中心,台東轉運站,2,1,5,1,5,6,118.39,臺東公路,8101A,0
三仙台遊憩區,成功,1,1,8,7,8,7,4.42,臺東公路,8101A,0
成功,成功漁港,1,1,7,6,7,6,0.88,臺東公路,8101A,0
阿美族民俗中心,渚橋,1,1,5,4,5,4,26.66,臺東公路,8101A,0
阿美族民俗中心,成功漁港,8397,0,5,6,5,6,13.29,臺東公路,8101A,0
成功漁港,三仙台遊憩區,7643,0,6,8,6,8,5.3,臺東公路,8101A,0
成功,三仙台遊憩區,798,0,7,8,7,8,4.42,臺東公路,8101A,0
成功漁港,成功漁港,72,0,6,6,6,6,0,臺東公路,8101A,0
三仙台遊憩區,三仙台遊憩區,112,0,8,8,8,8,0,臺東公路,8101A,0
阿美族民俗中心,三仙台遊憩區,1,0,5,8,5,8,18.58,臺東公路,8101A,0
小野柳,阿美族民俗中心,3709,0,3,5,3,5,35.87,臺東公路,8101A,0
小野柳,小野柳,3737,0,3,3,3,3,0,臺東公路,8101A,0
三仙台遊憩區,水往上流,4184,0,8,9,8,9,42.65,臺東公路,8101A,0
水往上流,水往上流,48,0,9,9,9,9,0,臺東公路,8101A,0
阿美族民俗中心,阿美族民俗中心,101,0,5,5,5,5,0,臺東公路,8101A,0
阿美族民俗中心,成功,117,0,5,7,5,7,14.17,臺東公路,8101A,0
成功,成功,15,0,7,7,7,7,0,臺東公路,8101A,0
成功漁港,成功,33,0,6,7,6,7,0.88,臺東公路,8101A,0
成功漁港,水往上流,8,0,6,9,6,9,47.94,臺東公路,8101A,0
小野柳,成功漁港,3,0,3,6,3,6,49.16,臺東公路,8101A,0
成功,水往上流,3,0,7,9,7,9,47.06,臺東公路,8101A,0
小野柳,三仙台遊憩區,2,0,3,8,3,8,54.45,臺東公路,8101A,0
渚橋,阿美族民俗中心,607,0,4,5,4,5,26.66,臺東公路,8101A,0
小野柳,渚橋,582,0,3,4,3,4,9.21,臺東公路,8101A,0
渚橋,渚橋,23,0,4,4,4,4,0,臺東公路,8101A,0
成功,台東火車站,1,0,7,10,7,10,63.28,臺東公路,8101A,0
台東火車站,加路蘭,1174,587,2,3,4.5,3,43.88,臺東公路,8101D,0
台東轉運站,加路蘭,1102,551,8,3,4.5,3,50.42,臺東公路,8101D,0
小野柳,台東轉運站,939,471,6,8,6,1,50.52,臺東公路,8101D,0
小野柳,台東火車站,900,455,6,7,6,2,44.23,臺東公路,8101D,0
台東轉運站,台東火車站,592,296,1,7,4.5,4.5,50.42,臺東公路,8101D,0
台東火車站,台東轉運站,365,187,7,8,2,1,49.35,臺東公路,8101D,0
都蘭糖廠,台東轉運站,110,56,5,1,5,1,50.8,臺東公路,8101D,0
台東火車站,台東火車站,176,44,2,7,4.5,4.5,43.88,臺東公路,8101D,0
都蘭糖廠,台東火車站,76,38,5,7,5,4.5,43.88,臺東公路,8101D,0
台東轉運站,阿美族民俗中心,24,12,8,4,4.5,4,50.42,臺東公路,8101D,0
台東火車站,阿美族民俗中心,16,8,2,4,4.5,4,43.88,臺東公路,8101D,0
加路蘭,台東轉運站,14,7,3,1,3,4.5,50.42,臺東公路,8101D,0
台東轉運站,台東轉運站,16,4,8,8,4.5,4.5,50.42,臺東公路,8101D,0
阿美族民俗中心,台東轉運站,8,4,4,1,4,4.5,50.42,臺東公路,8101D,0
加路蘭,台東火車站,6,3,3,2,3,4.5,43.88,臺東公路,8101D,0
台東轉運站,都蘭糖廠,4,2,1,5,4.5,5,50.42,臺東公路,8101D,0
加路蘭,阿美族民俗中心,1139,0,3,4,3,4,31.03,臺東公路,8101D,0
都蘭糖廠,小野柳,917,0,5,6,5,6,11.57,臺東公路,8101D,0
阿美族民俗中心,都蘭糖廠,1160,0,4,5,4,5,20.92,臺東公路,8101D,0
阿美族民俗中心,阿美族民俗中心,15,0,4,4,4,4,0,臺東公路,8101D,0
都蘭糖廠,都蘭糖廠,18,0,5,5,5,5,0,臺東公路,8101D,0
小野柳,小野柳,4,0,6,6,6,6,0,臺東公路,8101D,0
加路蘭,加路蘭,9,0,3,3,3,3,0,臺東公路,8101D,0
台東轉運站,台東火車站,1110,334,1,4,1,5,23.27,臺東公路,8168A,0
台東火車站,卑南遺址公園,795,226,4,5,5,6,16.59,臺東公路,8168A,0
台東轉運站,台東轉運站,721,173,1,1,1,1,32.69,臺東公路,8168A,0
台東火車站,台東轉運站,332,166,4,14,7.5,7.5,34.06,臺東公路,8168A,0
台東轉運站,鹿野高台,4020,125,1,8,1,9,36.93,臺東公路,8168A,0
四維,台東轉運站,248,124,7,14,8.5,7.5,34.06,臺東公路,8168A,0
四維,台東火車站,360,116,7,4,10,11,23.64,臺東公路,8168A,0
四維,四維,650,112,7,7,10,10,5.01,臺東公路,8168A,0
台東火車站,台東火車站,542,106,4,4,11,11,21.3,臺東公路,8168A,0
台東火車站,四維,229,103,4,7,5,7,26.07,臺東公路,8168A,0
台東轉運站,四維,207,98,1,7,1,10,33.83,臺東公路,8168A,0
台東轉運站,卑南遺址公園,1066,68,1,5,1,6,12.67,臺東公路,8168A,0
娜路彎大酒店,台東火車站,134,62,3,4,4,5,9.63,臺東公路,8168A,0
公教會館,台東火車站,115,48,2,4,2,5,21.58,臺東公路,8168A,0
台東火車站,原生應用植物園,67,45,4,6,11,6,31.7,臺東公路,8168A,0
台東火車站,鹿野高台,1961,37,4,8,5,9,30.05,臺東公路,8168A,0
娜路彎大酒店,台東轉運站,60,30,12,14,7.5,7.5,34.06,臺東公路,8168A,0
台東轉運站,娜路彎大酒店,67,26,1,3,1,4,27.27,臺東公路,8168A,0
台東火車站,娜路彎大酒店,83,26,4,12,11,12,20.13,臺東公路,8168A,0
台東火車站,公教會館,60,22,4,13,11,13,26.34,臺東公路,8168A,0
娜路彎大酒店,卑南遺址公園,71,19,3,5,4,6,18.95,臺東公路,8168A,0
鹿野遊客中心,台東火車站,51,18,9,4,9,11,25.89,臺東公路,8168A,0
台東轉運站,原生應用植物園,32,16,14,6,7.5,6,34.06,臺東公路,8168A,0
娜路彎大酒店,鹿野高台,167,15,3,8,4,9,32.87,臺東公路,8168A,0
公教會館,卑南遺址公園,67,14,2,5,3,8,19.36,臺東公路,8168A,0
鹿野遊客中心,台東轉運站,24,12,9,14,9,7.5,34.06,臺東公路,8168A,0
娜路彎大酒店,四維,24,12,3,7,7.5,8.5,30.35,臺東公路,8168A,0
台東轉運站,公教會館,28,10,1,2,1,2.5,24.45,臺東公路,8168A,0
四維,鹿野遊客中心,18,10,7,9,10,9,7.08,臺東公路,8168A,0
原生應用植物園,台東轉運站,18,9,6,1,6,7.5,34.06,臺東公路,8168A,0
娜路彎大酒店,娜路彎大酒店,46,8,3,3,12,12,21.11,臺東公路,8168A,0
鹿野遊客中心,公教會館,16,8,9,2,9,7.5,33.63,臺東公路,8168A,0
