站牌代碼,站序資料,站間距離,累積里程_公里,站名,資料集,搭乘附屬路線名稱,搭乘公車路線方向
300031,1,0,0,台東轉運站,臺東公路,8101A,0
293959,2,7612.35,7.61,台東火車站,臺東公路,8101A,0
293970,3,109514.23,117.13,小野柳,臺東公路,8101A,0
311807,4,9213.49,126.34,渚橋,臺東公路,8101A,0
293998,5,26658.22,153,阿美族民俗中心,臺東公路,8101A,0
306025,6,13285.94,166.28,成功漁港,臺東公路,8101A,0
300759,7,879.26,167.16,成功,臺東公路,8101A,0
294000,8,4416.23,171.58,三仙台遊憩區,臺東公路,8101A,0
293988,9,42645.93,214.23,水往上流,臺東公路,8101A,0
293959,10,16221.4,230.45,台東火車站,臺東公路,8101A,0
300030,11,6334.33,236.78,台東轉運站,臺東公路,8101A,0
300031,1,0,0,台東轉運站,臺東公路,8101D,0
293959,2,6970.8,6.97,台東火車站,臺東公路,8101D,0
293974,3,12465.96,19.44,加路蘭,臺東公路,8101D,0
293998,4,31033.29,50.47,阿美族民俗中心,臺東公路,8101D,0
293990,5,20919.38,71.39,都蘭糖廠,臺東公路,8101D,0
293970,6,11569.59,82.96,小野柳,臺東公路,8101D,0
293959,7,11762.02,94.72,台東火車站,臺東公路,8101D,0
300030,8,6119.09,100.84,台東轉運站,臺東公路,8101D,0
297077,1,0,0,台東轉運站,臺東公路,8168A,0
293957,2,427.83,0.43,公教會館,臺東公路,8168A,0
305215,3,3272.35,3.7,娜路彎大酒店,臺東公路,8168A,0
294011,4,3256.03,6.96,台東火車站,臺東公路,8168A,0
294012,5,2579.78,9.54,卑南遺址公園,臺東公路,8168A,0
294019,6,11583.58,21.12,原生應用植物園,臺東公路,8168A,0
294025,7,8572.9,29.69,四維,臺東公路,8168A,0
294037,8,7428.6,37.12,鹿野高台,臺東公路,8168A,0
294035,9,1566.91,38.69,鹿野遊客中心,臺東公路,8168A,0
294026,10,5553.94,44.24,四維,臺東公路,8168A,0
294011,11,17157.17,61.4,台東火車站,臺東公路,8168A,0
306078,12,2992.79,64.39,娜路彎大酒店,臺東公路,8168A,0
293951,13,3296.68,67.69,公教會館,臺東公路,8168A,0
190394,14,441.32,68.13,台東轉運站,臺東公路,8168A,0
304981,1,0,0,玉里火車站,花蓮市區,309,0
304978,2,7983.68,7.98,安通溫泉,花蓮市區,309,0
304979,3,14177.76,22.16,寧埔休憩區,花蓮市區,309,0
304980,4,8622.62,30.78,長濱鄉公所,花蓮市區,309,0
304985,5,18586.57,49.37,奚卜蘭遊客中心,花蓮市區,309,0
304984,6,4121.3,53.49,石梯坪,花蓮市區,309,0
304982,7,5990.45,59.48,北回歸線,花蓮市區,309,0
304986,8,15821.28,75.3,金剛大道,花蓮市區,309,0
304987,9,2118.86,77.42,金剛好事館,花蓮市區,309,0
304988,10,1612.81,79.04,長濱鄉公所,花蓮市區,309,0
304989,11,8624.31,87.66,寧埔休憩區,花蓮市區,309,0
304990,12,14174.29,101.83,安通溫泉,花蓮市區,309,0
304981,13,7984.64,109.82,玉里火車站,花蓮市區,309,0
290406,1,0,0,七星潭,花蓮市區,308,1
304905,2,891.1,0.89,花蓮曼波園區(海岸路),花蓮市區,308,1
304903,3,707.5,1.6,花蓮酒廠,花蓮市區,308,1
305206,4,1077.37,2.68,台泥花蓮廠,花蓮市區,308,1
290476,5,1298.88,3.97,民意社區,花蓮市區,308,1
304901,6,469.96,4.44,中油辦公大樓,花蓮市區,308,1
304798,7,1406.44,5.85,美侖大飯店,花蓮市區,308,1
304796,8,904.31,6.76,美崙浸信會,花蓮市區,308,1
304794,9,436.67,7.19,福容大飯店,花蓮市區,308,1
304792,10,310.55,7.5,海岸中興路口,花蓮市區,308,1
304790,11,238.57,7.74,市老人會,花蓮市區,308,1
305207,12,265.93,8.01,家扶中心,花蓮市區,308,1
304786,13,245.13,8.25,中美中興路口,花蓮市區,308,1
311298,14,217.81,8.47,中美永興路口,花蓮市區,308,1
304782,15,190.07,8.66,麗軒國際飯店,花蓮市區,308,1
305026,16,415.75,9.08,門諾醫院,花蓮市區,308,1
304779,17,553.98,9.63,煙波大飯店,花蓮市區,308,1
304801,18,546.26,10.18,亞士都飯店,花蓮市區,308,1
304777,19,355.14,10.53,璽賓行旅,花蓮市區,308,1
304775,20,92.53,10.62,黎明教養院,花蓮市區,308,1
304773,21,567.89,11.19,花蓮女中,花蓮市區,308,1
304771,22,277.62,11.47,北濱公園,花蓮市區,308,1
304799,23,451.76,11.92,北濱街,花蓮市區,308,1
304767,24,384.32,12.31,東大門夜市,花蓮市區,308,1
304766,25,774.07,13.08,台灣企銀,花蓮市區,308,1
304764,26,367.41,13.45,大同市場,花蓮市區,308,1
304762,27,396.2,13.84,郵政總局,花蓮市區,308,1
304760,28,334.52,14.18,花蓮商校,花蓮市區,308,1
304758,29,452.57,14.63,商校街,花蓮市區,308,1
304756,30,287.8,14.92,花蓮電影城,花蓮市區,308,1
307498,31,557.03,15.48,花蓮轉運站,花蓮市區,308,1
295283,1,0,0,台東航空站,臺東市區,陸海空線C,0
299269,2,726.05,0.73,陽明山莊,臺東市區,陸海空線C,0
