月份,甲_abs,乙_丟負值,丙_排除閉合表,丁_閉合用環繞,資料集
113/06,22.44,22.44,22.44,22.44,花蓮公路
113/07,23.56,23.57,23.56,23.56,花蓮公路
113/08,23.41,23.41,23.41,23.41,花蓮公路
113/09,21.72,21.72,21.72,21.72,花蓮公路
113/10,21.06,21.06,21.06,21.06,花蓮公路
113/11,20.72,20.74,20.72,20.72,花蓮公路
113/12,21.67,21.68,21.67,21.67,花蓮公路
114/01,22.63,22.65,22.63,22.63,花蓮公路
114/02,22.45,22.45,22.45,22.45,花蓮公路
114/03,21.51,21.51,21.51,21.51,花蓮公路
114/04,21.58,21.58,21.58,21.58,花蓮公路
114/05,21.43,21.42,21.43,21.43,花蓮公路
114/06,22.31,22.31,22.31,22.31,花蓮公路
114/07,23.26,23.26,23.26,23.26,花蓮公路
114/08,23.25,23.26,23.25,23.25,花蓮公路
114/09,20.95,20.96,20.95,20.95,花蓮公路
114/10,20.8,20.81,20.8,20.8,花蓮公路
114/11,20.63,20.62,20.63,20.63,花蓮公路
114/12,20.99,20.99,20.99,20.99,花蓮公路
115/01,20.64,20.64,20.64,20.64,花蓮公路
115/02,22.95,22.95,22.95,22.95,花蓮公路
115/03,20.2,20.2,20.2,20.2,花蓮公路
115/04,21.15,21.15,21.15,21.15,花蓮公路
115/05,20.46,20.47,20.46,20.46,花蓮公路
115/06,21.18,21.19,21.18,21.18,花蓮公路
113/06,24.6,23.17,22.31,24.15,臺東公路
113/07,27.52,25.23,24.02,26.56,臺東公路
113/08,30.07,26.12,24.17,28.26,臺東公路
113/09,26.29,23.39,21.78,25.14,臺東公路
113/10,25.28,23.19,21.81,24.52,臺東公路
113/11,25.11,22.85,21.23,24.35,臺東公路
113/12,24.71,22.36,21.21,23.36,臺東公路
114/01,24.74,23.36,22.74,23.96,臺東公路
114/02,24.51,22.92,22.28,23.58,臺東公路
114/03,23.65,22.19,21.57,22.81,臺東公路
114/04,23.56,22.1,21.47,22.73,臺東公路
114/05,23.55,22.22,21.66,22.78,臺東公路
114/06,24.89,23.18,22.41,23.92,臺東公路
114/07,26.17,24.81,24.21,25.53,臺東公路
114/08,27.36,25.59,24.9,26.39,臺東公路
114/09,23.23,22.14,21.61,22.67,臺東公路
114/10,23.6,22.2,21.56,22.87,臺東公路
114/11,31.54,29.09,28.13,30.25,臺東公路
114/12,22.12,21.41,21.12,21.79,臺東公路
115/01,21.57,21.23,21.07,21.39,臺東公路
115/02,23.62,23.29,23.24,23.44,臺東公路
115/03,21.4,21.06,21.08,21.2,臺東公路
115/04,21.87,21.43,21.46,21.57,臺東公路
115/05,22.1,21.74,21.77,21.85,臺東公路
115/06,22.23,21.99,22.03,22.11,臺東公路
113/06,18.21,16.66,15.31,18.02,花蓮市區
113/07,17.07,16.05,15.34,16.97,花蓮市區
113/08,18.41,16.37,15.51,17.75,花蓮市區
113/09,17.71,15.74,15.38,16.75,花蓮市區
113/10,17.61,16,15.69,16.85,花蓮市區
113/11,15.3,13.96,14.22,14.73,花蓮市區
113/12,16.22,14.55,14.55,15.89,花蓮市區
114/01,13.36,12.34,12.57,13.02,花蓮市區
114/02,13.55,12.54,12.85,13.24,花蓮市區
114/03,13.28,12.55,13.22,13.02,花蓮市區
114/04,13.31,12.55,13.18,13.04,花蓮市區
114/05,12.04,12.04,13.06,12.04,花蓮市區
114/06,13.46,12.53,13.23,13.09,花蓮市區
114/07,12.67,11.69,12.47,12.29,花蓮市區
114/08,13.31,12.25,12.99,12.9,花蓮市區
114/09,13.36,12.6,13.44,13.06,花蓮市區
114/10,13.14,12.44,13.16,12.87,花蓮市區
114/11,11.82,11.39,12.03,11.69,花蓮市區
114/12,11.82,11.5,12.2,11.77,花蓮市區
115/01,11.03,10.8,11.69,10.83,花蓮市區
115/02,11.25,11.13,11.84,11.15,花蓮市區
115/03,11.69,11.66,12.29,11.63,花蓮市區
115/04,11.47,11.46,12.84,11.41,花蓮市區
115/05,9.56,9.25,11.34,9.34,花蓮市區
115/06,8.49,8.12,10.05,8.26,花蓮市區
113/06,8.11,8.11,8.79,8.11,臺東市區
113/07,8.19,8.19,9.12,8.19,臺東市區
113/08,8.26,8.26,9.07,8.26,臺東市區
113/09,7.99,7.99,8.65,7.99,臺東市區
113/10,7.86,7.86,8.44,7.86,臺東市區
113/11,7.49,7.49,7.23,7.49,臺東市區
113/12,7.37,7.45,7.08,7.37,臺東市區
114/01,7.31,7.36,7.15,7.31,臺東市區
114/02,7.47,7.53,7.38,7.47,臺東市區
114/03,7.59,7.71,7.73,7.59,臺東市區
114/04,7.91,7.99,8.63,7.91,臺東市區
114/05,7.88,8.02,8.41,7.88,臺東市區
114/06,7.97,8.14,8.52,7.97,臺東市區
114/07,8.09,8.09,8.82,8.09,臺東市區
114/08,8.17,8.17,8.99,8.17,臺東市區
114/09,7.94,8,8.64,7.94,臺東市區
114/10,7.92,8,8.33,7.92,臺東市區
114/11,7.55,7.55,7.49,7.55,臺東市區
114/12,7.24,7.24,7.1,7.24,臺東市區
115/01,7.29,7.29,7.32,7.29,臺東市區
115/02,7.58,7.58,7.75,7.58,臺東市區
115/03,7.5,7.5,7.67,7.5,臺東市區
115/04,7.93,7.93,8.53,7.93,臺東市區
115/05,7.85,7.85,8.57,7.85,臺東市區
115/06,7.92,7.92,8.83,7.92,臺東市區
