上車碼,下車碼,票證數,上車表站序,下車表站序,表差_公里,abs_公里,環繞_公里,時距中位_小時,時距平均_小時,時距0小時占比,時距2小時以上占比,起,迄,資料集,附屬路線
300031,293970,5297,1,3,117.13,117.13,353.91,1,1,0,0,台東轉運站,小野柳,臺東公路,8101A
300030,293970,5181,11,3,-119.65,119.65,117.13,1,1,0,0,台東轉運站,小野柳,臺東公路,8101A
293959,293970,5231,10,3,-113.32,113.32,123.46,1,1,0.2,0,台東火車站,小野柳,臺東公路,8101A
293998,306025,8397,5,6,13.29,13.29,250.07,1,1,0,0.4,阿美族民俗中心,成功漁港,臺東公路,8101A
306025,294000,7643,6,8,5.3,5.3,242.08,1,0.75,25,0.4,成功漁港,三仙台遊憩區,臺東公路,8101A
293970,293998,3709,3,5,35.87,35.87,272.65,0,0.12,88.6,0.2,小野柳,阿美族民俗中心,臺東公路,8101A
304981,304985,7514,1,5,49.37,49.37,159.19,1,1.27,0,27.3,玉里火車站,奚卜蘭遊客中心,花蓮市區,309
304987,304981,6523,9,1,-77.42,77.42,32.4,1,1,1.3,1.1,金剛好事館,玉里火車站,花蓮市區,309
304985,304984,3864,5,6,4.12,4.12,113.94,0,0.43,57,0.1,奚卜蘭遊客中心,石梯坪,花蓮市區,309
304984,304982,3982,6,7,5.99,5.99,115.81,0,0.35,64.7,0,石梯坪,北回歸線,花蓮市區,309
