末代碼,首代碼,搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,站數,全長,首站名,末站名,閉合,資料集
190394,297077,8168,8168A,0,14,68129.88,台東轉運站,台東轉運站,TRUE,臺東公路
300030,300031,8101,8101A,0,11,236781.38,台東轉運站,台東轉運站,TRUE,臺東公路
300030,300031,8101,8101B,0,6,97417.74,台東轉運站,台東轉運站,TRUE,臺東公路
300030,300031,8101,8101C,0,7,100411.07,台東轉運站,台東轉運站,TRUE,臺東公路
300030,300031,8101,8101D,0,8,100840.13,台東轉運站,台東轉運站,TRUE,臺東公路
304981,304981,309,309,0,13,109818.57,,,TRUE,臺東公路
298867,298867,302,302A,0,27,16912.1,新城火車站,新城火車站,TRUE,花蓮市區
298867,298867,302,302A,1,27,17326.48,新城火車站,新城火車站,TRUE,花蓮市區
304827,304827,307,307,0,27,15638.2,花蓮轉運站,花蓮轉運站,TRUE,花蓮市區
304827,304827,307,307,1,26,15603.8333396,花蓮轉運站,花蓮轉運站,TRUE,花蓮市區
304981,304981,309,309,0,13,109818.57,玉里火車站,玉里火車站,TRUE,花蓮市區
307559,307560,311,311,0,23,12440.02,花蓮轉運站,花蓮轉運站,TRUE,花蓮市區
295300,295300,市區循環,市區循環,0,31,20109.4,台東火車站,台東火車站,TRUE,臺東市區
308003,295300,101,101,0,31,20293.09,台東火車站,台東火車站,TRUE,臺東市區
308003,295300,101,101,1,31,20163.44,台東火車站,台東火車站,TRUE,臺東市區
308003,295300,市區循環,市區循環,1,31,20349.12,台東火車站,台東火車站,TRUE,臺東市區
