資料集,步驟,平均移動_公里,最大移動_公里,最大移動月份,人次_前,人次_後
花蓮公路,A 重現獨立腳本（圖片為 1 位小數）,0,-0.1,114/02,,657557
花蓮公路,B 票證範圍改整併版,0,0,113/06,657557,657557
花蓮公路,C 里程改 abs 含 0,-0.1,-0.17,113/07,657557,660923
花蓮公路,D 配對鍵加路線名稱、本縣距離表,0,0,113/06,660923,660923
花蓮公路,D2 同站牌依站序差最小選點,0,0,113/06,660923,660923
花蓮公路,E 整併版實際（站序精確補配、C1 前綴）,1.17,1.52,115/02,660923,704934
花蓮公路,合計 A→E,1.06,1.43,115/02,657557,704934
臺東公路,A 重現獨立腳本（圖片為 1 位小數）,-0.02,-0.1,113/08,,1726741
臺東公路,B 票證範圍改整併版,0,0,113/06,1726741,1726741
臺東公路,C 里程改 abs 含 0,1.56,3.77,113/08,1726741,1764371
臺東公路,D 配對鍵加路線名稱、本縣距離表,0,0,113/06,1764371,1764371
臺東公路,D2 同站牌依站序差最小選點,-0.26,-0.57,113/12,1764371,1764371
臺東公路,E 整併版實際（站序精確補配、C1 前綴）,0.05,0.64,115/02,1764371,1847900
臺東公路,合計 A→E,1.34,3.02,113/08,1726741,1847900
花蓮市區,A 重現獨立腳本（圖片為 1 位小數）,0,0,113/06,,590773
花蓮市區,B 票證範圍改整併版,0,0,113/06,590773,590773
花蓮市區,C 里程改 abs 含 0,0.74,2.08,113/09,590773,606362
花蓮市區,D 配對鍵加路線名稱、本縣距離表,0,0,113/06,606362,606362
花蓮市區,D2 同站牌依站序差最小選點,-0.11,0.55,113/06,606362,606362
花蓮市區,E 整併版實際（站序精確補配、C1 前綴）,-0.05,-0.2,113/06,606362,610080
花蓮市區,合計 A→E,0.57,1.45,113/09,590773,610080
臺東市區,A 重現獨立腳本（圖片為 1 位小數）,0,-0.1,115/05,,286910
臺東市區,B 票證範圍改整併版,0,0,113/06,286910,286910
臺東市區,C 里程改 abs 含 0,-0.19,-0.45,114/03,286910,317648
臺東市區,D 配對鍵加路線名稱、本縣距離表,0,0,113/06,317648,317648
臺東市區,D2 同站牌依站序差最小選點,-0.13,-0.26,113/11,317648,317648
臺東市區,E 整併版實際（站序精確補配、C1 前綴）,-0.11,-0.31,114/03,317648,322192
臺東市區,合計 A→E,-0.42,-0.97,114/03,286910,322192
