資料集,搭乘路線名稱,搭乘附屬路線名稱,人次,獨立腳本,整併版
花蓮市區,1123,1123,11866,FALSE,TRUE
臺東市區,284,284,28245,FALSE,TRUE
臺東市區,262區,262區,24890,FALSE,TRUE
臺東市區,652,652,24107,FALSE,TRUE
臺東市區,235,235,23582,FALSE,TRUE
臺東市區,敦化幹線,敦化幹線,22076,FALSE,TRUE
臺東市區,307,307莒光往撫遠街,21385,FALSE,TRUE
臺東市區,307,307莒光往板橋前站,21094,FALSE,TRUE
臺東市區,基隆路幹線,基隆路幹線,20290,FALSE,TRUE
臺東市區,292,292,20195,FALSE,TRUE
臺東市區,重慶幹線,重慶幹線,19983,FALSE,TRUE
臺東市區,14,14,19719,FALSE,TRUE
臺東市區,民權幹線,民權幹線,19107,FALSE,TRUE
臺東市區,信義幹線,信義幹線,18137,FALSE,TRUE
臺東市區,306區,306區,17874,FALSE,TRUE
臺東市區,民生幹線,民生幹線,17742,FALSE,TRUE
臺東市區,226,226,17437,FALSE,TRUE
臺東市區,南京幹線,南京幹線,17317,FALSE,TRUE
臺東市區,內湖幹線,內湖幹線,17138,FALSE,TRUE
臺東市區,39,39,15657,FALSE,TRUE
臺東市區,643,643,14568,FALSE,TRUE
臺東市區,265夜,265夜間公車,14309,FALSE,TRUE
臺東市區,松江新生幹線,松江新生幹線,14122,FALSE,TRUE
臺東市區,復興幹線,復興幹線,14044,FALSE,TRUE
臺東市區,藍36,藍36,13964,FALSE,TRUE
臺東市區,299,299(三重)去程半,13359,FALSE,TRUE
臺東市區,617,617,13011,FALSE,TRUE
臺東市區,63,63,12142,FALSE,TRUE
臺東市區,299,299(大都會),11771,FALSE,TRUE
臺東市區,忠孝幹線,忠孝幹線,11740,FALSE,TRUE
臺東市區,20,20,10830,FALSE,TRUE
臺東市區,287區,287區,10747,FALSE,TRUE
臺東市區,508,508,10541,FALSE,TRUE
臺東市區,648,648,10386,FALSE,TRUE
臺東市區,225,225,10100,FALSE,TRUE
臺東市區,仁愛幹線,仁愛幹線(板橋發車),9982,FALSE,TRUE
臺東市區,606,606,9979,FALSE,TRUE
臺東市區,紅5,紅5,9925,FALSE,TRUE
臺東市區,647,647,9743,FALSE,TRUE
臺東市區,644,644,9584,FALSE,TRUE
臺東市區,508區,508區(大),9341,FALSE,TRUE
臺東市區,204,204往內湖,9266,FALSE,TRUE
臺東市區,22,22,9185,FALSE,TRUE
臺東市區,222,222,8946,FALSE,TRUE
臺東市區,685,685經吉林,8871,FALSE,TRUE
臺東市區,205,205,8775,FALSE,TRUE
臺東市區,645,645,8702,FALSE,TRUE
臺東市區,和平幹線,和平幹線,8480,FALSE,TRUE
臺東市區,277,277,8211,FALSE,TRUE
臺東市區,281,281,8073,FALSE,TRUE
臺東市區,306,306(三重),7864,FALSE,TRUE
臺東市區,204,204往東園,7766,FALSE,TRUE
臺東市區,221,221,7478,FALSE,TRUE
臺東市區,207,207,7289,FALSE,TRUE
臺東市區,612,612,7242,FALSE,TRUE
臺東市區,270,270,7049,FALSE,TRUE
臺東市區,234,234,6910,FALSE,TRUE
臺東市區,630,630(大都會)往東湖,6213,FALSE,TRUE
臺東市區,508區,508區(三重),6190,FALSE,TRUE
臺東市區,藍10,藍10,5627,FALSE,TRUE
臺東市區,12,12,5349,FALSE,TRUE
臺東市區,505,505,5182,FALSE,TRUE
臺東市區,265經中央路,265經中央路,5179,FALSE,TRUE
臺東市區,688,688,4974,FALSE,TRUE
臺東市區,藍26,藍26,4757,FALSE,TRUE
臺東市區,651,651,4756,FALSE,TRUE
臺東市區,紅31,紅31,4733,FALSE,TRUE
臺東市區,5,5,4673,FALSE,TRUE
臺東市區,紅7區,紅7區,4658,FALSE,TRUE
臺東市區,藍5,藍5,4551,FALSE,TRUE
臺東市區,南環幹線,南環幹線捷運新店站發車,4499,FALSE,TRUE
臺東市區,276,276,4450,FALSE,TRUE
