資料集,月份,圖片標示,里程_A,里程_B,里程_C,里程_D,里程_D2,里程_E,人次_A,人次_B,人次_C,人次_D,人次_D2,人次_E
花蓮公路,113/06,22.4,22.44,22.44,22.31,22.31,22.31,23.44,18399,18399,18515,18515,18515,20148
花蓮公路,113/07,23.6,23.57,23.57,23.4,23.4,23.4,24.81,16078,16078,16200,16200,16200,17815
花蓮公路,113/08,23.4,23.41,23.41,23.28,23.28,23.28,24.36,19194,19194,19311,19311,19311,21281
花蓮公路,113/09,21.7,21.72,21.72,21.6,21.6,21.6,22.65,25295,25295,25450,25450,25450,27316
花蓮公路,113/10,21.1,21.06,21.06,20.91,20.91,20.91,21.89,24061,24061,24256,24256,24256,26316
花蓮公路,113/11,20.7,20.74,20.74,20.64,20.64,20.64,21.76,28609,28609,28769,28769,28769,31473
花蓮公路,113/12,21.7,21.68,21.68,21.59,21.59,21.59,22.66,28255,28255,28374,28374,28374,30475
花蓮公路,114/01,22.6,22.65,22.65,22.48,22.48,22.48,23.86,23071,23071,23246,23246,23246,25166
花蓮公路,114/02,22.5,22.45,22.45,22.38,22.38,22.38,23.35,23136,23136,23214,23214,23214,24705
花蓮公路,114/03,21.5,21.51,21.51,21.43,21.43,21.43,22.46,29277,29277,29403,29403,29403,31259
花蓮公路,114/04,21.6,21.58,21.58,21.49,21.49,21.49,22.79,29316,29316,29451,29451,29451,31398
花蓮公路,114/05,21.4,21.42,21.42,21.34,21.34,21.34,22.41,29086,29086,29216,29216,29216,30858
花蓮公路,114/06,22.3,22.31,22.31,22.17,22.17,22.17,23.19,27134,27134,27317,27317,27317,29024
花蓮公路,114/07,23.3,23.26,23.26,23.17,23.17,23.17,24.46,25499,25499,25612,25612,25612,27565
花蓮公路,114/08,23.3,23.26,23.26,23.13,23.13,23.13,24.33,26132,26132,26279,26279,26279,28361
花蓮公路,114/09,21,20.96,20.96,20.87,20.87,20.87,22.1,28202,28202,28328,28328,28328,30017
花蓮公路,114/10,20.8,20.81,20.81,20.7,20.7,20.7,22.12,29712,29712,29874,29874,29874,31643
花蓮公路,114/11,20.6,20.62,20.62,20.56,20.56,20.56,21.93,24608,24608,24700,24700,24700,26103
花蓮公路,114/12,21,20.99,20.99,20.92,20.92,20.92,22.14,29771,29771,29879,29879,29879,31444
花蓮公路,115/01,20.6,20.64,20.64,20.57,20.57,20.57,21.62,26287,26287,26393,26393,26393,27594
花蓮公路,115/02,23,22.95,22.95,22.86,22.86,22.86,24.38,22764,22764,22855,22855,22855,24146
花蓮公路,115/03,20.2,20.2,20.2,20.12,20.12,20.12,21.2,32468,32468,32623,32623,32623,34104
花蓮公路,115/04,21.1,21.15,21.15,21.05,21.05,21.05,22.15,32360,32360,32541,32541,32541,34305
花蓮公路,115/05,20.5,20.47,20.47,20.4,20.4,20.4,21.41,31338,31338,31480,31480,31480,33146
花蓮公路,115/06,21.2,21.19,21.19,21.1,21.1,21.1,22.17,27505,27505,27637,27637,27637,29272
臺東公路,113/06,23.2,23.22,23.22,24.57,24.57,24.47,24.57,61912,61912,63051,63051,63051,67983
臺東公路,113/07,25.4,25.36,25.36,27.62,27.62,27.29,27.09,52343,52343,54338,54338,54338,57081
