月份,總人次,TPASS人次,TPASS卡數,非TPASS人次,TPASS比例%,每卡月均次,TPASS人次較前月%,總人次較前月%,非TPASS較前月%,TPASS卡數較前月%
113/06,28472,4745,613,23727,16.7,7.74,,,,
113/07,26660,3577,513,23083,13.4,6.97,-24.6,-6.4,-2.7,-16.3
113/08,27650,3534,598,24116,12.8,5.91,-1.2,3.7,4.5,16.6
113/09,30366,5933,699,24433,19.5,8.49,67.9,9.8,1.3,16.9
113/10,28780,5382,670,23398,18.7,8.03,-9.3,-5.2,-4.2,-4.1
113/11,34724,6074,709,28650,17.5,8.57,12.9,20.7,22.4,5.8
113/12,31709,5732,708,25977,18.1,8.1,-5.6,-8.7,-9.3,-0.1
114/01,26085,4124,671,21961,15.8,6.15,-28.1,-17.7,-15.5,-5.2
114/02,25675,4591,671,21084,17.9,6.84,11.3,-1.6,-4,0
114/03,32250,6670,717,25580,20.7,9.3,45.3,25.6,21.3,6.9
114/04,32599,6309,727,26290,19.4,8.68,-5.4,1.1,2.8,1.4
114/05,32009,6596,722,25413,20.6,9.14,4.5,-1.8,-3.3,-0.7
114/06,30017,5807,738,24210,19.3,7.87,-12,-6.2,-4.7,2.2
114/07,28640,4546,673,24094,15.9,6.75,-21.7,-4.6,-0.5,-8.8
114/08,29551,3857,695,25694,13.1,5.55,-15.2,3.2,6.6,3.3
114/09,31191,6525,752,24666,20.9,8.68,69.2,5.5,-4,8.2
114/10,32153,6656,800,25497,20.7,8.32,2,3.1,3.4,6.4
114/11,26571,5944,675,20627,22.4,8.81,-10.7,-17.4,-19.1,-15.6
114/12,31861,7096,856,24765,22.3,8.29,19.4,19.9,20.1,26.8
115/01,27594,5767,794,21827,20.9,7.26,-18.7,-13.4,-11.9,-7.2
115/02,24146,3223,744,20923,13.3,4.33,-44.1,-12.5,-4.1,-6.3
115/03,34104,7593,796,26511,22.3,9.54,135.6,41.2,26.7,7
115/04,34305,7084,866,27221,20.7,8.18,-6.7,0.6,2.7,8.8
115/05,33146,6959,852,26187,21,8.17,-1.8,-3.4,-3.8,-1.6
115/06,29272,5847,839,23425,20,6.97,-16,-11.7,-10.5,-1.5
