路線,113/06,113/07,113/08,113/09,113/10,113/12,114/01,114/02,114/03,114/04,114/06,114/07,114/08,114/09,114/10,114/12,115/01,115/02,115/03,115/04
1135,113,136,100,186,156,205,174,195,335,317,244,120,66,239,231,326,364,98,1150,912
1121,616,435,488,898,681,785,563,712,1195,1165,999,724,575,1155,1198,1297,904,406,1123,1063
1132,492,280,238,756,689,648,512,458,831,873,769,312,205,774,820,855,612,174,753,692
1140,599,668,547,618,557,560,495,510,629,622,635,733,633,691,774,792,767,519,714,698
1139,431,213,200,538,489,562,301,372,600,510,412,206,223,657,633,647,585,302,705,667
8119,378,384,437,555,465,637,446,464,566,592,563,544,531,634,631,711,485,396,705,696
1136,259,60,70,478,457,486,233,450,648,494,347,89,64,605,511,503,340,123,555,485
1145,341,285,313,454,463,453,364,387,426,404,404,452,390,467,498,478,314,260,426,418
8161,557,464,522,257,251,294,292,251,284,276,349,455,414,284,325,302,430,378,327,320
8181,207,169,180,261,213,280,292,247,237,202,234,253,213,246,229,271,243,236,311,333
1128,152,45,27,206,330,196,115,101,334,330,337,148,97,227,251,257,198,57,239,201
1142,201,130,85,202,111,111,82,82,111,99,108,95,97,134,105,110,61,60,142,145
1129,111,94,106,144,182,151,80,111,180,141,99,113,96,108,122,127,125,57,115,114
1143,103,12,14,124,143,99,40,56,49,34,56,6,0,55,36,108,44,9,95,123
1122,68,92,131,151,96,114,55,108,103,111,133,136,118,133,128,112,113,70,84,82
1137,24,39,17,46,41,68,38,42,56,55,31,72,22,77,100,116,91,35,69,63
1141,29,6,7,19,19,27,18,22,23,18,16,49,35,27,38,56,52,29,58,50
1133,6,17,24,13,11,8,6,8,8,11,11,18,16,1,7,13,21,8,13,10
1125,56,44,26,22,28,44,15,14,29,26,45,20,56,9,18,14,17,5,9,12
1130,0,0,0,4,0,2,2,0,25,28,10,0,2,0,0,0,1,1,0,0
8173,2,4,2,1,0,2,1,1,1,1,5,1,4,2,1,1,0,0,0,0
