月份,0805,0816,1201,1602
113/06,12.3,35.5,16.1,20.6
113/07,10.7,28.2,11.5,23
113/08,10.6,30,10.2,23
113/09,17.3,18.9,18.7,28.1
113/10,14,19.4,18.2,24.8
113/11,9.2,18.3,17.1,26.9
113/12,,17.9,16.9,28
114/01,,18.6,14.5,22.4
114/02,,17.7,16.8,23.4
114/03,,18.6,20.5,22.6
114/04,,19.1,18.9,22
114/05,,20.9,20,23.8
114/06,,23.1,18.5,22.7
114/07,,27.1,13.9,21
114/08,,24.2,11.1,18
114/09,,21.2,20.2,24.7
114/10,,20.3,20.4,22.1
114/11,,,21.7,25.9
114/12,,18,21.9,25.8
115/01,,24.1,20,24.6
115/02,,23,11.3,18.7
115/03,,19.7,21.7,26.3
115/04,,19.5,20,24.4
115/05,,20.2,20.4,24.4
115/06,,23.6,18.6,25.5
