月份,0805,0816,1201,1602
113/06,885,559,2716,585
113/07,657,468,1899,553
113/08,528,524,1865,617
113/09,353,258,4506,816
113/10,207,251,4246,678
113/11,171,283,4887,733
113/12,0,296,4519,917
114/01,0,293,3031,800
114/02,0,252,3402,937
114/03,0,285,5320,1065
114/04,0,277,4995,1037
114/05,0,315,5193,1088
114/06,0,354,4428,1025
114/07,0,456,3078,1012
114/08,0,418,2499,940
114/09,0,286,5131,1108
114/10,0,326,5228,1102
114/11,0,0,4831,1113
114/12,0,303,5548,1245
115/01,0,430,4447,890
115/02,0,378,2071,774
115/03,0,327,5991,1275
115/04,0,320,5489,1275
115/05,0,296,5459,1204
115/06,0,389,4246,1212
