路線,114/07,114/08,114/09,鄰月平均,減少量,減少幅度%,占總減少%,低谷
1121,724,575,1155,940,365,38.8,21.7,114/08
1132,312,205,774,543,338,62.2,20.1,114/08
1136,89,64,605,347,283,81.6,16.8,114/08
1139,206,223,657,432,209,48.4,12.4,114/08
1135,120,66,239,180,114,63.3,6.8,114/08
1128,148,97,227,188,91,48.4,5.4,114/08
1140,733,633,691,712,79,11.1,4.7,114/08
1145,452,390,467,460,70,15.2,4.2,114/08
8119,544,531,634,589,58,9.8,3.5,114/08
1137,72,22,77,74,52,70.3,3.1,114/08
8181,253,213,246,250,37,14.8,2.2,114/08
1143,6,0,55,30,30,100,1.8,114/08
1142,95,97,134,114,17,14.9,1,114/08
1122,136,118,133,134,16,11.9,1,114/08
1129,113,96,108,110,14,12.7,0.8,114/08
1141,49,35,27,38,3,7.9,0.2,114/08
1130,0,2,0,0,-2,-Inf,-0.1,114/08
8173,1,4,2,2,-2,-100,-0.1,114/08
1133,18,16,1,10,-6,-60,-0.4,114/08
1125,20,56,9,14,-42,-300,-2.5,114/08
8161,455,414,284,370,-44,-11.9,-2.6,114/08
