路線,115/01,115/02,115/03,鄰月平均,減少量,減少幅度%,占總減少%,低谷
1135,364,98,1150,757,659,87.1,19.1,115/02
1121,904,406,1123,1014,608,60,17.6,115/02
1132,612,174,753,682,508,74.5,14.7,115/02
1139,585,302,705,645,343,53.2,9.9,115/02
1136,340,123,555,448,325,72.5,9.4,115/02
1140,767,519,714,740,221,29.9,6.4,115/02
8119,485,396,705,595,199,33.4,5.8,115/02
1128,198,57,239,218,161,73.9,4.7,115/02
1145,314,260,426,370,110,29.7,3.2,115/02
1129,125,57,115,120,63,52.5,1.8,115/02
1143,44,9,95,70,61,87.1,1.8,115/02
1137,91,35,69,80,45,56.2,1.3,115/02
1142,61,60,142,102,42,41.2,1.2,115/02
8181,243,236,311,277,41,14.8,1.2,115/02
1122,113,70,84,98,28,28.6,0.8,115/02
1141,52,29,58,55,26,47.3,0.8,115/02
1133,21,8,13,17,9,52.9,0.3,115/02
1125,17,5,9,13,8,61.5,0.2,115/02
8161,430,378,327,378,0,0,0,115/02
1130,1,1,0,0,-1,-Inf,0,115/02
