週起,總人次,TPASS人次,天數,TPASS比例%
2025-05-26,805,110,1,13.7
2025-06-02,6941,1445,7,20.8
2025-06-09,6737,1425,7,21.2
2025-06-16,7078,1339,7,18.9
2025-06-23,7358,1296,7,17.6
2025-06-30,6084,873,7,14.3
2025-07-07,6526,940,7,14.4
2025-07-14,6586,1106,7,16.8
2025-07-21,6766,1146,7,16.9
2025-07-28,6349,1010,7,15.9
2025-08-04,6992,988,7,14.1
2025-08-11,5924,710,6,12
2025-08-18,7184,901,7,12.5
2025-08-25,6878,921,7,13.4
2025-09-01,7672,1546,7,20.2
2025-09-08,7737,1743,7,22.5
2025-09-15,7823,1702,7,21.8
2025-09-22,5809,1126,6,19.4
2025-09-29,7332,1362,7,18.6
2025-10-06,7032,1216,7,17.3
2025-10-13,7448,1625,7,21.8
2025-10-20,6955,1402,7,20.2
2025-10-27,6938,1612,7,23.2
2025-11-03,6619,1482,7,22.4
2025-11-10,5064,1157,7,22.8
2025-11-17,6830,1601,7,23.4
2025-11-24,6656,1551,7,23.3
2025-12-01,7011,1633,7,23.3
2025-12-08,7087,1623,7,22.9
2025-12-15,7062,1557,7,22
2025-12-22,7173,1424,7,19.9
2025-12-29,7243,1436,7,19.8
2026-01-05,5503,1268,6,23
2026-01-12,6561,1583,7,24.1
2026-01-19,6384,1464,7,22.9
2026-01-26,6065,964,7,15.9
2026-02-02,5107,684,7,13.4
2026-02-09,6596,735,7,11.1
2026-02-16,5819,501,7,8.6
2026-02-23,6567,1274,7,19.4
2026-03-02,6142,1346,6,21.9
2026-03-09,8067,1835,7,22.7
2026-03-16,8148,1861,7,22.8
2026-03-23,8603,1854,7,21.6
2026-03-30,7751,1305,7,16.8
2026-04-06,7896,1499,7,19
2026-04-13,7943,1884,7,23.7
2026-04-20,8026,1751,7,21.8
2026-04-27,5256,1282,4,24.4
