月份,日型,總人次,TPASS人次,天數,TPASS比例%,每日TPASS,每日總人次
113/06,假日,8060,792,10,9.8,79,806
113/06,平日,20412,3953,20,19.4,198,1021
113/07,假日,6476,570,8,8.8,71,810
113/07,平日,20184,3007,22,14.9,137,917
113/08,假日,7378,680,9,9.2,76,820
113/08,平日,20272,2854,22,14.1,130,921
113/09,假日,7629,950,9,12.5,106,848
113/09,平日,22737,4983,21,21.9,237,1083
113/10,假日,7295,855,8,11.7,107,912
113/10,平日,21485,4527,19,21.1,238,1131
113/12,假日,7718,865,9,11.2,96,858
113/12,平日,23991,4867,22,20.3,221,1090
114/01,假日,5859,650,8,11.1,81,732
114/01,平日,20226,3474,23,17.2,151,879
114/02,假日,6054,684,8,11.3,86,757
114/02,平日,19621,3907,20,19.9,195,981
114/03,假日,8853,1092,10,12.3,109,885
114/03,平日,23397,5578,21,23.8,266,1114
114/04,假日,7046,862,8,12.2,108,881
114/04,平日,25553,5447,22,21.3,248,1162
114/06,假日,7562,914,9,12.1,102,840
114/06,平日,22455,4893,21,21.8,233,1069
114/07,假日,6377,635,8,10,79,797
114/07,平日,22263,3911,23,17.6,170,968
114/08,假日,9006,892,10,9.9,89,901
114/08,平日,20545,2965,20,14.4,148,1027
114/09,假日,7406,854,8,11.5,107,926
114/09,平日,23785,5671,21,23.8,270,1133
114/10,假日,7048,840,8,11.9,105,881
114/10,平日,25105,5816,23,23.2,253,1092
114/12,假日,6822,923,8,13.5,115,853
114/12,平日,25039,6173,23,24.7,268,1089
115/01,假日,6105,873,8,14.3,109,763
115/01,平日,21489,4894,22,22.8,222,977
115/02,假日,6531,642,8,9.8,80,816
115/02,平日,17615,2581,20,14.7,129,881
115/03,假日,8729,1043,9,11.9,116,970
115/03,平日,25375,6550,21,25.8,312,1208
115/04,假日,7939,1034,8,13,129,992
115/04,平日,26366,6050,22,22.9,275,1198
