月份,1,2–4,5–9,10–19,20+,卡數,中位數,平均
113/06,152,194,107,90,70,613,4,7.74
113/07,145,154,92,72,50,513,3,6.97
113/08,187,207,99,63,42,598,3,5.91
113/09,191,190,111,103,104,699,4,8.49
113/10,186,193,97,99,95,670,3,8.03
113/12,190,203,109,116,90,708,4,8.1
114/01,199,224,103,97,48,671,3,6.15
114/02,198,196,112,103,62,671,3,6.84
114/03,189,207,101,88,132,717,4,9.3
114/04,195,219,100,102,111,727,4,8.68
114/06,216,250,89,75,108,738,3,7.87
114/07,189,226,111,86,61,673,3,6.75
114/08,248,224,107,73,43,695,2,5.55
114/09,185,219,121,115,112,752,4,8.68
114/10,236,237,110,92,125,800,3,8.32
114/12,267,240,106,109,134,856,3,8.29
115/01,236,251,107,110,90,794,3,7.26
115/02,238,307,116,61,22,744,2,4.33
115/03,226,224,107,110,129,796,3,9.54
115/04,255,257,122,130,102,866,3,8.18
