月份,日型,總人次,TPASS人次,TPASS比例%
113/06,假日,18512,3430,18.5
113/06,平日,52281,15808,30.2
113/07,假日,14231,2242,15.8
113/07,平日,47998,10597,22.1
113/08,假日,17440,2763,15.8
113/08,平日,56292,11383,20.2
113/09,假日,18500,4079,22
113/09,平日,69032,23540,34.1
113/10,假日,17184,3967,23.1
113/10,平日,61694,21926,35.5
113/12,假日,20682,4805,23.2
113/12,平日,73492,27704,37.7
114/01,假日,14989,3409,22.7
114/01,平日,57031,18937,33.2
114/02,假日,14378,3050,21.2
114/02,平日,54165,18840,34.8
114/03,假日,20679,5117,24.7
114/03,平日,65739,27000,41.1
114/04,假日,15849,3835,24.2
114/04,平日,67745,26191,38.7
114/06,假日,18078,4622,25.6
114/06,平日,59439,22456,37.8
114/07,假日,12347,2471,20
114/07,平日,49083,13352,27.2
114/08,假日,17731,3385,19.1
114/08,平日,46234,11013,23.8
114/09,假日,16007,4359,27.2
114/09,平日,62454,26668,42.7
114/10,假日,16780,3921,23.4
114/10,平日,71156,28768,40.4
114/12,假日,16428,4594,28
114/12,平日,72299,30085,41.6
115/01,假日,14317,3809,26.6
115/01,平日,56206,22571,40.2
115/02,假日,13787,2993,21.7
115/02,平日,42885,11860,27.7
115/03,假日,16314,4614,28.3
115/03,平日,65385,28508,43.6
115/04,假日,16597,4686,28.2
115/04,平日,65112,27642,42.5
