月份,總人次,TPASS人次,TPASS_東華,非TPASS_東華,東華占TPASS%,TPASS_非東華
113/06,28472,4745,37,210,0.8,4708
113/07,26660,3577,24,107,0.7,3553
113/08,27650,3534,22,74,0.6,3512
113/09,30366,5933,4,76,0.1,5929
113/10,28780,5382,3,45,0.1,5379
113/12,31709,5732,3,39,0.1,5729
114/01,26085,4124,0,32,0,4124
114/02,25675,4591,15,64,0.3,4576
114/03,32250,6670,53,116,0.8,6617
114/04,32599,6309,59,80,0.9,6250
114/06,30017,5807,0,40,0,5807
114/07,28640,4546,4,47,0.1,4542
114/08,29551,3857,0,34,0,3857
114/09,31191,6525,8,57,0.1,6517
114/10,32153,6656,2,69,0,6654
114/12,31861,7096,6,58,0.1,7090
115/01,27594,5767,2,43,0,5765
115/02,24146,3223,1,41,0,3222
115/03,34104,7593,6,94,0.1,7587
115/04,34305,7084,6,89,0.1,7078
