站,114/07,114/08,114/09,鄰月平均,減少量,占總減少%,低谷
國立花蓮高工,26,27,210,118,91,5.5,114/08
花蓮醫院(將軍府),77,52,195,136,84,5.1,114/08
光復站,115,47,123,119,72,4.3,114/08
花蓮轉運站,441,450,582,512,62,3.7,114/08
中華路,127,105,206,166,61,3.7,114/08
北埔,14,7,110,62,55,3.3,114/08
成功,203,170,234,218,48,2.9,114/08
榕樹,6,0,90,48,48,2.9,114/08
鳳林,27,18,104,66,48,2.9,114/08
南海園,44,17,63,54,37,2.2,114/08
新城國中,13,5,70,42,37,2.2,114/08
花蓮縣政府,58,23,61,60,37,2.2,114/08
地方法院,24,14,77,50,36,2.2,114/08
圖書館資訊大樓,16,7,69,42,35,2.1,114/08
玉里站,27,19,79,53,34,2,114/08
