站,115/01,115/02,115/03,鄰月平均,減少量,占總減少%,低谷
玉里站,97,29,365,231,202,5.9,115/02
花蓮醫院(將軍府),157,46,258,208,162,4.7,115/02
花蓮轉運站,410,304,507,458,154,4.5,115/02
中華路,224,116,262,243,127,3.7,115/02
瑞穗,97,42,213,155,113,3.3,115/02
國立花蓮高工,143,38,137,140,102,3,115/02
文蘭,116,33,130,123,90,2.6,115/02
光復站,103,19,112,108,89,2.6,115/02
明禮國小,129,54,133,131,77,2.2,115/02
地方法院,67,20,116,92,72,2.1,115/02
成功,200,172,280,240,68,2,115/02
新城國中,39,11,104,72,61,1.8,115/02
新秀農會,31,9,108,70,61,1.8,115/02
花蓮文創園區(中正),78,34,105,92,58,1.7,115/02
泰林社區,56,18,90,73,55,1.6,115/02
