月,列數,異常列數,占比%,未刷下車,未刷上車,資料
113/06,25137,307,1.22,140,167,花蓮市區
113/07,20798,577,2.77,243,334,花蓮市區
113/08,25760,261,1.01,150,111,花蓮市區
113/09,35987,380,1.06,300,80,花蓮市區
113/10,33193,316,0.95,230,77,花蓮市區
113/11,35521,419,1.18,359,55,花蓮市區
113/12,39379,253,0.64,196,56,花蓮市區
114/01,21619,195,0.9,136,57,花蓮市區
114/02,22094,172,0.78,129,42,花蓮市區
114/03,29233,187,0.64,132,53,花蓮市區
114/04,29369,208,0.71,143,65,花蓮市區
114/05,28146,213,0.76,150,63,花蓮市區
114/06,26383,168,0.64,121,47,花蓮市區
114/07,20568,149,0.72,97,49,花蓮市區
114/08,23101,1745,7.55,1662,83,花蓮市區
114/09,33958,3562,10.49,3504,58,花蓮市區
114/10,35107,4098,11.67,4043,55,花蓮市區
114/11,26905,162,0.6,74,83,花蓮市區
114/12,30074,217,0.72,110,107,花蓮市區
115/01,21935,0,0,0,0,花蓮市區
115/02,19357,0,0,0,0,花蓮市區
115/03,28837,0,0,0,0,花蓮市區
115/04,14146,0,0,0,0,花蓮市區
115/05,8380,0,0,0,0,花蓮市區
115/06,6991,0,0,0,0,花蓮市區
113/06,12309,806,6.55,616,190,臺東市區
113/07,11518,175,1.52,175,0,臺東市區
113/08,14745,238,1.61,238,0,臺東市區
113/09,14433,518,3.59,518,0,臺東市區
113/10,13452,463,3.44,463,0,臺東市區
113/11,16157,698,4.32,189,509,臺東市區
113/12,13757,211,1.53,137,74,臺東市區
114/01,10936,129,1.18,129,0,臺東市區
114/02,10139,179,1.77,141,38,臺東市區
114/03,12206,169,1.38,169,0,臺東市區
114/04,14381,267,1.86,223,44,臺東市區
114/05,14840,225,1.52,225,0,臺東市區
114/06,15133,250,1.65,250,0,臺東市區
114/07,12897,270,2.09,270,0,臺東市區
114/08,14386,333,2.31,333,0,臺東市區
114/09,12926,1708,13.21,1650,58,臺東市區
114/10,15782,2052,13,1980,72,臺東市區
114/11,11433,0,0,0,0,臺東市區
114/12,13272,0,0,0,0,臺東市區
115/01,11423,0,0,0,0,臺東市區
115/02,10483,0,0,0,0,臺東市區
115/03,12073,0,0,0,0,臺東市區
115/04,12648,0,0,0,0,臺東市區
115/05,16134,0,0,0,0,臺東市區
115/06,13533,0,0,0,0,臺東市區
113/06,28472,1212,4.26,315,406,花蓮公路
113/07,26660,2802,10.51,1251,1087,花蓮公路
113/08,27650,1467,5.31,627,387,花蓮公路
113/09,30366,1029,3.39,361,278,花蓮公路
113/10,28780,991,3.44,301,258,花蓮公路
113/11,34724,1432,4.12,431,322,花蓮公路
113/12,31709,1234,3.89,298,264,花蓮公路
114/01,26085,919,3.52,277,212,花蓮公路
114/02,25675,970,3.78,265,242,花蓮公路
114/03,32250,991,3.07,296,231,花蓮公路
114/04,32599,1208,3.71,316,265,花蓮公路
114/05,32009,1151,3.6,249,220,花蓮公路
114/06,30017,993,3.31,263,213,花蓮公路
114/07,28640,1075,3.75,293,234,花蓮公路
114/08,29551,1190,4.03,285,237,花蓮公路
114/09,31191,1174,3.76,297,252,花蓮公路
114/10,32153,510,1.59,275,225,花蓮公路
114/11,26571,468,1.76,239,224,花蓮公路
114/12,31861,417,1.31,211,204,花蓮公路
115/01,27594,0,0,0,0,花蓮公路
115/02,24146,0,0,0,0,花蓮公路
115/03,34104,0,0,0,0,花蓮公路
115/04,34305,0,0,0,0,花蓮公路
115/05,33146,0,0,0,0,花蓮公路
115/06,29272,0,0,0,0,花蓮公路
113/06,70793,123,0.17,57,66,臺東公路
113/07,62229,433,0.7,232,201,臺東公路
113/08,73732,125,0.17,67,58,臺東公路
113/09,87532,89,0.1,45,44,臺東公路
113/10,78878,103,0.13,49,54,臺東公路
113/11,92804,120,0.13,70,50,臺東公路
113/12,94174,84,0.09,48,36,臺東公路
114/01,72020,67,0.09,34,33,臺東公路
114/02,68543,59,0.09,28,19,臺東公路
114/03,86418,49,0.06,31,18,臺東公路
114/04,83594,55,0.07,35,20,臺東公路
114/05,82907,34,0.04,17,17,臺東公路
114/06,77517,42,0.05,27,15,臺東公路
114/07,61430,44,0.07,26,18,臺東公路
114/08,63965,44,0.07,25,19,臺東公路
114/09,78461,39,0.05,20,19,臺東公路
114/10,87936,45,0.05,28,17,臺東公路
114/11,35607,36,0.1,23,13,臺東公路
114/12,88727,26,0.03,11,15,臺東公路
115/01,70523,0,0,0,0,臺東公路
115/02,56672,0,0,0,0,臺東公路
115/03,81699,0,0,0,0,臺東公路
115/04,81709,0,0,0,0,臺東公路
115/05,77631,0,0,0,0,臺東公路
115/06,74525,0,0,0,0,臺東公路
