檔案,分頁,月份,欄位,前值,新值
TPASS使用比例,臺東公路,114/10,總搭乘人次,87936,87935
TPASS使用比例,臺東公路,115/05,TPASS比例,40.5,40.4
TPASS使用比例,臺東市區,113/06,總搭乘人次,12309,12307
TPASS使用比例,臺東市區,113/07,總搭乘人次,11518,11517
TPASS使用比例,臺東市區,113/08,TPASS搭乘人次,988,987
TPASS使用比例,臺東市區,113/08,總搭乘人次,14745,14744
TPASS使用比例,臺東市區,113/09,總搭乘人次,14433,14431
TPASS使用比例,臺東市區,113/11,總搭乘人次,16157,16156
TPASS使用比例,臺東市區,113/12,總搭乘人次,13757,13756
TPASS使用比例,臺東市區,114/01,總搭乘人次,10936,10935
TPASS使用比例,臺東市區,114/03,TPASS搭乘人次,2716,2715
TPASS使用比例,臺東市區,114/03,總搭乘人次,12206,12205
TPASS使用比例,臺東市區,114/06,TPASS搭乘人次,2937,2936
TPASS使用比例,臺東市區,114/06,總搭乘人次,15133,15131
TPASS使用比例,臺東市區,114/07,TPASS搭乘人次,1559,1557
TPASS使用比例,臺東市區,114/07,總搭乘人次,12897,12893
TPASS使用比例,臺東市區,114/09,TPASS搭乘人次,3432,2340
TPASS使用比例,臺東市區,114/09,TPASS比例,26.6,19.8
TPASS使用比例,臺東市區,114/09,總搭乘人次,12926,11829
TPASS使用比例,臺東市區,114/10,TPASS搭乘人次,4250,2897
TPASS使用比例,臺東市區,114/10,TPASS比例,26.9,20.1
TPASS使用比例,臺東市區,114/10,總搭乘人次,15782,14427
TPASS使用比例,臺東市區,114/11,TPASS比例,17.8,17.7
TPASS使用比例,花蓮公路,113/06,TPASS搭乘人次,4745,4743
TPASS使用比例,花蓮公路,113/06,總搭乘人次,28472,28469
TPASS使用比例,花蓮公路,113/07,TPASS搭乘人次,3577,3574
TPASS使用比例,花蓮公路,113/07,總搭乘人次,26660,26657
TPASS使用比例,花蓮公路,113/08,TPASS搭乘人次,3534,3531
TPASS使用比例,花蓮公路,113/08,總搭乘人次,27650,27647
TPASS使用比例,花蓮公路,113/11,TPASS搭乘人次,6074,6072
TPASS使用比例,花蓮公路,113/11,總搭乘人次,34724,34721
TPASS使用比例,花蓮公路,114/01,總搭乘人次,26085,26084
TPASS使用比例,花蓮公路,114/04,總搭乘人次,32599,32598
TPASS使用比例,花蓮公路,114/06,TPASS比例,19.4,19.3
TPASS使用比例,花蓮公路,114/06,總搭乘人次,30017,30016
TPASS使用比例,花蓮公路,114/07,總搭乘人次,28640,28639
TPASS使用比例,花蓮公路,114/09,TPASS搭乘人次,6525,6524
TPASS使用比例,花蓮公路,114/09,總搭乘人次,31191,31189
TPASS使用比例,花蓮公路,114/10,總搭乘人次,32153,32151
TPASS使用比例,花蓮公路,115/04,TPASS比例,20.6,20.7
TPASS使用比例,花蓮市區,113/06,TPASS比例,13.7,13.6
TPASS使用比例,花蓮市區,113/07,總搭乘人次,20798,20797
TPASS使用比例,花蓮市區,113/09,TPASS搭乘人次,5498,5497
TPASS使用比例,花蓮市區,113/09,總搭乘人次,35987,35986
TPASS使用比例,花蓮市區,113/10,TPASS搭乘人次,6123,6122
TPASS使用比例,花蓮市區,113/10,總搭乘人次,33193,33192
TPASS使用比例,花蓮市區,113/11,TPASS搭乘人次,6875,6871
TPASS使用比例,花蓮市區,113/11,TPASS比例,19.4,19.3
TPASS使用比例,花蓮市區,113/11,總搭乘人次,35521,35517
TPASS使用比例,花蓮市區,113/12,總搭乘人次,39379,39378
TPASS使用比例,花蓮市區,114/01,總搭乘人次,21619,21618
TPASS使用比例,花蓮市區,114/02,TPASS搭乘人次,5695,5693
TPASS使用比例,花蓮市區,114/02,總搭乘人次,22094,22092
TPASS使用比例,花蓮市區,114/03,TPASS搭乘人次,8880,8879
TPASS使用比例,花蓮市區,114/03,總搭乘人次,29233,29231
TPASS使用比例,花蓮市區,114/04,TPASS搭乘人次,7872,7870
TPASS使用比例,花蓮市區,114/04,總搭乘人次,29369,29366
TPASS使用比例,花蓮市區,114/05,總搭乘人次,28146,28144
TPASS使用比例,花蓮市區,114/06,TPASS搭乘人次,6828,6825
TPASS使用比例,花蓮市區,114/06,總搭乘人次,26383,26380
TPASS使用比例,花蓮市區,114/08,TPASS搭乘人次,5345,3827
TPASS使用比例,花蓮市區,114/08,TPASS比例,23.1,17.7
TPASS使用比例,花蓮市區,114/08,總搭乘人次,23101,21582
TPASS使用比例,花蓮市區,114/09,TPASS搭乘人次,12161,8890
TPASS使用比例,花蓮市區,114/09,TPASS比例,35.8,29
