檔案,分頁,差異儲存格數,差異月份
TPASS使用比例.xlsx,花蓮公路,48,113/06 113/07 113/08 113/09 113/10 113/11 113/12 114/01 114/02 114/03 114/04 114/05 114/06 114/07 114/08 114/09 114/10 114/11 114/12 115/01 115/02 115/03 115/04 115/05 115/06
TPASS使用比例.xlsx,臺東公路,4,114/10 115/04
TPASS使用比例.xlsx,花蓮市區,33,113/07 113/09 113/10 113/11 113/12 114/01 114/02 114/03 114/04 114/05 114/06 114/08 114/09 114/10 114/11 114/12 115/04
TPASS使用比例.xlsx,臺東市區,24,113/06 113/07 113/08 113/09 113/11 113/12 114/01 114/02 114/03 114/06 114/07 114/09 114/10
月平均搭乘里程.xlsx,花蓮公路,72,113/06 113/07 113/08 113/09 113/10 113/11 113/12 114/01 114/02 114/03 114/04 114/05 114/06 114/07 114/08 114/09 114/10 114/11 114/12 115/01 115/02 115/03 115/04 115/05 115/06
月平均搭乘里程.xlsx,臺東公路,3,115/04
月平均搭乘里程.xlsx,花蓮市區,3,115/04
月平均搭乘里程.xlsx,臺東市區,4,113/07 114/02
平均每日使用次數及其族群分布.xlsx,平均每日_花蓮公路,39,113/06 113/07 113/08 113/09 113/10 113/11 113/12 114/01 114/02 114/03 114/04 114/05 114/06 114/07 114/08 114/09 114/10 114/11 114/12 115/01 115/02 115/03 115/04 115/05 115/06
平均每日使用次數及其族群分布.xlsx,平均每日_臺東公路,4,114/10 115/04
平均每日使用次數及其族群分布.xlsx,平均每日_花蓮市區,21,113/07 113/09 113/10 113/11 113/12 114/01 114/02 114/03 114/04 114/05 114/06 114/08 114/09 114/10 114/11 114/12 115/04
平均每日使用次數及其族群分布.xlsx,平均每日_臺東市區,21,113/06 113/07 113/08 113/09 113/11 113/12 114/01 114/02 114/03 114/06 114/07 114/09 114/10
平均每日使用次數及其族群分布.xlsx,全部乘客_花蓮公路,87,113/06 113/08 113/10 113/11 113/12 114/01 114/02 114/03 114/04 114/06 114/07 114/08 114/10 114/11 114/12 115/03 115/04 115/05 115/06 113/07 113/09 114/05 114/09 115/02
平均每日使用次數及其族群分布.xlsx,全部乘客_臺東公路,4,115/04
平均每日使用次數及其族群分布.xlsx,全部乘客_花蓮市區,38,113/10 113/11 114/02 114/03 114/04 114/06 114/08 114/09 114/10 115/04
平均每日使用次數及其族群分布.xlsx,全部乘客_臺東市區,34,113/06 113/07 114/01 114/02 114/06 114/09 114/10 113/08 113/09
平均每日使用次數及其族群分布.xlsx,TPASS_花蓮公路,26,114/06 115/04 113/11 115/03 115/05 115/06
平均每日使用次數及其族群分布.xlsx,TPASS_臺東公路,6,115/04
平均每日使用次數及其族群分布.xlsx,TPASS_花蓮市區,38,113/10 113/11 114/02 114/03 114/04 114/06 114/08 114/09 114/10 115/04
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,28,113/07 114/02 114/09 114/10 113/08
平均轉乘次數.xlsx,花蓮地區,0,""
平均轉乘次數.xlsx,臺東地區,0,""
